lihtc_project_id,normalized_state_id,hud_property_name,property_street_address,city,state,zip_code,state_id
PAA53746558,PAA53010722,1313 Sherwood Expressway,1143 Seal Cove Pine,Easton,PA,61951,PAA11477984
PAA07084998,PAA16796945,Mozilla Foundation,293 Robinson Point,Dothan,PA,20956,PAA61733701
PAA69068846,PAA77673570,Boston Scientific,1101 Edgemont Run,Mesa,PA,56573,TC4514-3769
PAA94253988,TC5199-5488,717 Montcalm Creek,1011 Columbia Square Crossing,Holyoke,PA,25630,TC5869-9179
PAA89768316,PAA64468878,Enterprise GP Holdings,1117 Bowley Garden,Desert Hot Springs,PA,18388,PAA06948425
PAA84327647,TC6751-7936,Science Applications International Corporation,1142 Fredson Park,Rockville Centre,PA,31666,PAA06783953
PAA98552895,TC9888-3555,809 Tuscany Hills,1023 Clarence Hills,Easton,PA,51097,PAA57711952
PAA36705051,PAA13531663,Giant Food,132 Zoo Annex,Safety Harbor,PA,75629,TC7882-5343
PAA56726837,PAA44427161,637 Verdi Ferry,508 Ewer Shore,Cambridge,PA,42213,PAA98040275
PAA73066579,TC0522-5316,Quickbiz,527 Ventura Turnpike,Phoenix,PA,89224,TC5561-2396
PAA22436375,PAA31895914,899 Jeopardy Station,1076 Inverness Route,North Olmsted,PA,80805,TC5046-3023
PAA05997701,PAA64013479,1125 Elwood Junction,978 Lick Point,Pinole,PA,05436,TC1889-6898
PAA04858199,PAA15094851,795 Kent Heights,25 Wilde Canyon,Cincinnati,PA,00173,PAA93383975
PAA82698386,TC1745-7470,512 Andrew Park,411 Lake Forest Street,Salisbury,PA,73483,PAA81780517
PAA98133764,PAA48777849,Northwest Airlines,329 Porter Street,Nashville,PA,15038,TC3825-6410
PAA87913528,PAA47797116,1220 Battery Dynamite Route,870 Oakhurst Road,Ridgecrest,PA,47609,TC4068-3324
PAA17088949,TC6302-3714,1021 Lilac Manor,944 Ellington Plaza,Athens,PA,32944,PAA69971875
PAA39365026,PAA64692148,Happy Bear Investment,1383 Cohen Lodge,Miramar,PA,84082,TC9431-2321
PAA82657845,TC5185-9140,521 Mayflower Green,1211 Torney Pass,Riverton,PA,15084,TC0704-5596
PAA01692415,PAA16942683,Applebee's,721 Coronado Extension,Northfield,PA,10973,TC6512-8333
PAA90380597,TC7984-5872,Megatronic Mux,1026 Balance Path,Kingston,PA,88067,PAA84092407
PAA28214426,TC6670-7490,216 Birch Annex,1234 Starview Station,Oak Creek,PA,40422,PAA68227887
PAA35072071,PAA09149240,346 Ventura Point,113 Mcdonald Cove,The Colony,PA,88236,TC8194-5256
PAA14922570,TC9012-2482,1257 Rex Street,430 Iron Heights,West Springfield,PA,48172,PAA74899571
PAA11221016,TC8871-7735,Sears,584 Executive Park Highway,Moraga,PA,53753,TC2539-0009
PAA43332884,PAA29467531,521 High Field,21 Lake Merced Drive,Dixon,PA,27981,TC6382-8011
PAA21967581,PAA24408891,Columbia Pictures,139 Folsom Pine,Oxnard,PA,65637,PAA91272641
PAA58319570,PAA65699338,1208 Cerritos Canyon,898 Maryland Row,Camden,PA,31917,TC1758-1742
PAA17584387,TC3127-7979,633 Felton Bayou,585 Sunbeam Station,Sheboygan,PA,22773,PAA42886182
PAA10385107,TC9789-4325,701 Legion Run,985 Eureka Crescent,Buffalo Grove,PA,59362,TC5231-9138
PAA18505431,TC2073-1610,"PalmOne, Inc.",987 Harlan Avenue,Newport,PA,33890,PAA62376856
PAA04983120,PAA07500001,Belle Ladi,356 Fell Access Turnpike,Erie,PA,23430,PAA27825636
PAA79220367,TC1829-2983,Magik Lamp,1188 Edie Run,Chester,PA,31892,TC4135-4737
PAA90628108,TC9191-3087,362 Keith Pine,492 Gateview 2 Pass,Ferguson,PA,91707,PAA80753089
PAA23248426,TC2896-3205,559 West Clay Estate,259 Exchange Path,Wisconsin Rapids,PA,12275,TC9503-8490
PAA26887349,PAA21544846,Monk Home Improvements,1226 Winfield Glen,Livonia,PA,52319,TC0727-6435
PAA99137500,PAA40835512,Star Assistance,747 Claremont Landing,LaGrange,PA,54615,TC6419-2664
PAA63030932,TC3128-2004,Albertsons LLC,969 Sfgh Access Highway,Glassboro,PA,34720,TC0216-8220
PAA09028836,PAA75789394,371 Pratt Ferry,629 Arballo Grove,Waxahachie,PA,87130,PAA24179411
PAA62705521,PAA53379102,928 El Camino Del Mar Annex,420 Robert C Levy Lake,Stillwater,PA,32495,TC8074-8595
PAA05736835,TC3058-6894,1075 Pershing Boulevard,304 Gough Glen,College Station,PA,93361,PAA99801342
PAA13329218,PAA05529749,Rainbow Life,1294 Wawona Spur,Woodstock,PA,86702,TC3593-3067
PAA66626199,PAA49328572,H&R Block,266 Eugenia Street,Alsip,PA,63785,TC4734-2514
PAA78073109,PAA03998038,"PalmSource, Inc.",585 Princeton Bayou,Torrance,PA,00302,PAA05692877
PAA53979100,TC7471-0854,Ideal Industries,655 Coleman Turnpike,Taylorsville,PA,87798,TC4777-6185
PAA09770099,PAA05652892,24 Rhine Route,426 Grenard Pass,Logansport,PA,54498,PAA77774475
PAA37025096,PAA06509328,824 Armory Rapids,1124 Ingerson Loop,Round Lake Beach,PA,89559,PAA50442186
PAA50926689,PAA48492932,1313 Webster Alley,1305 Varela Court,Cathedral City,PA,04015,PAA55684261
PAA68489611,PAA95945462,98 Junipero Serra Alley,211 Napoleon Hills,Kennesaw,PA,03785,PAA87665337
PAA44943421,TC7887-3317,1052 Bellevue Circle,301 Loyola Loop,Cerritos,PA,55013,TC8688-9465
PAA07411045,TC6074-7040,Tesla Motors,1315 Navajo Parkway,Castle Rock,PA,47258,PAA58079913
PAA83809066,PAA67471127,364 Harry Canyon,800 Circular Extension,Seaside,PA,13033,TC9858-4289
