projectidentifier_id,projectindex_id
365,PA02WXN9400
23,PA58QMW6648
81,PA30FGO1360
520,PA27OVT2979
385,PA20MIB3834
414,PA31EJY2333
384,PA15FYA5642
219,PA61QGG6395
234,PA71BQI0399
587,PA89TVW3885
345,PA00THB0378
9,PA96AVC5800
374,PA68FWT4843
533,PA71EKQ9917
248,PA62KUJ4379
267,PA39GLK0048
380,PA80OQP2644
37,PA86UXH0726
333,PA12VZM4341
594,PA46KYS6512
214,PA48HRV4415
431,PA29AVD9720
301,PA01UKH7164
103,PA79KYR7512
303,PA11KNG6679
612,PA73VIL1841
184,PA36FPH6175
401,PA62PBU2112
433,PA15AIE2143
573,PA93PUJ1151
513,PA11JKI6774
568,PA27ZUB1883
52,PA53MGP8329
309,PA32FSP5711
94,PA82ZRI0106
177,PA56GRA3583
642,PA68SAH2508
607,PA34TZU7681
257,PA54DKX1967
436,PA29JXY4428
165,PA12FDP2450
54,PA65NLZ6861
454,PA08ANC3546
193,PA89LTS3805
148,PA62ZCR5096
490,PA49TLR6021
25,PA45YAY3414
368,PA97SCQ3870
618,PA48RJM8117
48,PA25LVY8664
423,PA73CJX8484
273,PA22HYF8456
225,PA00WDM9733
316,PA51CVC3748
610,PA79VVM3193
221,PA40DWT6827
249,PA47LYQ3667
154,PA58MXH1497
517,PA69GLS2282
487,PA26UUG5408
353,PA12LMH0509
409,PA56XYN2076
21,PA95ZUQ1064
277,PA28OML1708
108,PA57JPS1001
111,PA72IMV4152
289,PA56CQK5044
555,PA90WOS6024
179,PA42UBK1922
468,PA36VPG1839
105,PA97YOU9850
363,PA64RUX1636
167,PA97YYQ7706
130,PA31UNU7555
100,PA43FJH6216
124,PA57KPL6282
146,PA89RDP6602
99,PA94FZE4482
197,PA15QYJ5114
603,PA56JYI7035
356,PA58JLB3309
90,PA97OTU5718
606,PA21RTV5892
258,PA90JCP5583
206,PA78AHC4149
122,PA04FFQ3812
73,PA63DUE6301
13,PA20HOG2490
5,PA05BXH7069
546,PA51XJD0581
252,PA23WKQ7570
567,PA59KUP0084
314,PA37NTY7882
86,PA46TDB4534
125,PA22SZV5253
647,PA69AQO9842
611,PA30BGY4513
601,PA91JNN7411
328,PA13RNI4311
521,PA92EBI0424
429,PA41WYO2112
446,PA42XGR8536
565,PA55UQZ8930
136,PA12KUZ3587
50,PA78WZS3347
317,PA32ZUH5260
544,PA09NFP5277
390,PA40ACU2203
144,PA92FZK9454
564,PA07OCM6881
540,PA12FMK7345
205,PA52DFD1148
466,PA71CKE0470
307,PA03CDH9984
523,PA15SEA9090
133,PA65BPN9201
85,PA11TKM0205
208,PA85ITV9806
338,PA48SMF4750
96,PA62GOR3307
377,PA61UBJ8475
506,PA15WYS5915
66,PA50XYN6880
552,PA74VJX8612
420,PA07MDR5038
421,PA28XQE0664
388,PA84GTR2027
32,PA29AJM5562
638,PA39ODZ2742
227,PA94MMF0644
357,PA19HYX5742
139,PA79DVQ3363
231,PA47IOG3371
574,PA33YGB8343
398,PA82UNS6620
215,PA44JVV0864
137,PA95KIU8130
509,PA75KRE7916
245,PA52AAH8427
412,PA75LWZ7318
198,PA08FEI7390
60,PA88MSQ5972
464,PA45KFA2784
318,PA41UDB2620
185,PA36SZG9423
196,PA30GVH7748
68,PA08IBZ4556
44,PA23JUN2818
159,PA20OKV1189
566,PA31UES5051
292,PA53QUK8120
270,PA24TBF8492
591,PA69HWK6014
469,PA35QAZ2816
236,PA17NYM7487
548,PA94GKP9274
97,PA51ACG8430
508,PA23CZM1307
239,PA64WUD3188
534,PA40WHI9004
399,PA51AWW5782
3,PA45NDE2519
62,PA05BGE8127
525,PA62INQ3774
527,PA68JPU5161
336,PA85JJA4150
4,PA16AJO0633
475,PA40HEC3331
441,PA76UAK1346
502,PA83YYB7661
370,PA41CYK7752
58,PA76JHT1293
72,PA38EMZ1263
91,PA74BLW9533
437,PA06XZD5169
132,PA97QAM4762
619,PA12TEX1535
175,PA49LOW3267
244,PA65MTM6209
115,PA29SIP5946
343,PA01WFO3494
216,PA49FHZ7873
646,PA34YBL4058
92,PA12BSB7781
467,PA88ZNN6304
576,PA54UCU3733
33,PA61NAC0780
354,PA15HEE0844
84,PA56TYW2548
640,PA28LJS3794
26,PA63RBJ7355
200,PA15TCV1177
589,PA04WEW9744
590,PA96ZNW5171
43,PA92PLY9983
254,PA66WYH6553
67,PA74ODT4958
110,PA14JDE1540
411,PA70GCW9483
83,PA72UST7792
16,PA24AXR7763
79,PA00EOH6521
18,PA88COV5822
174,PA87SLD2345
45,PA08UHH8344
117,PA03RUN5000
575,PA82YXD4446
416,PA25MAC9916
279,PA87BVM7385
116,PA58ZUU1812
330,PA58MDD8162
637,PA71ZTZ2180
495,PA80NXF5362
501,PA76HBU6083
266,PA71FUQ3998
321,PA51BOM5719
560,PA48HLR7848
14,PA23FAY2416
359,PA56VHS8138
189,PA70WSQ0769
492,PA45RQX2635
547,PA57FGW6775
369,PA62ISQ9574
101,PA15RTN6319
180,PA28WMH1657
65,PA08TJQ0490
27,PA72FUJ1139
342,PA10NCD4727
51,PA01RAG1479
2,PA97VSR8970
240,PA40MUO6901
