projectidentifier_id,projectindex_id
328,959656
151,653292
630,298885
490,654596
485,788925
130,911416
320,935419
446,414667
144,361746
211,583900
169,716738
582,335311
603,367899
462,119926
586,675293
57,248274
30,873522
542,345945
191,423359
69,821577
525,682584
560,538694
571,830812
339,300702
255,365027
126,131744
595,715961
11,897666
353,810219
232,834676
358,036613
280,377193
3,689617
205,249337
93,738514
543,317264
578,663899
160,553557
127,405022
399,082272
223,670267
378,700278
427,911646
8,472456
594,069756
389,018057
605,159967
526,203689
18,915003
63,374954
480,932609
505,703493
518,723739
314,692732
531,149667
256,987607
468,825854
545,541992
242,583133
519,397236
372,026479
634,245834
463,314544
254,383823
609,152127
584,477914
407,224774
42,391803
345,376240
435,511532
371,695372
443,485912
82,895694
194,277225
635,374350
452,305225
508,399220
230,827378
610,988054
311,896671
214,202923
625,428889
511,443579
612,586260
13,496259
411,182605
233,398462
252,230861
118,717656
565,102385
568,518746
590,788550
431,888209
471,256922
239,370701
632,743936
363,476815
409,148457
197,813916
48,677028
569,594585
637,384769
107,514702
491,645850
398,626056
1,956002
645,406981
342,145699
601,147573
553,404233
209,188408
15,288363
417,965425
298,796445
152,698828
369,257456
92,173624
21,136883
176,381169
29,935798
37,107632
475,902130
79,680894
387,309610
507,848008
166,593497
567,497127
618,297924
200,844481
444,668756
83,017316
453,991870
283,400787
549,278397
39,057663
307,348036
245,261284
324,126413
87,603117
171,200705
424,528483
516,442683
523,906718
142,299238
477,220178
154,109715
575,996464
415,618969
423,103961
281,258529
559,905822
213,026681
80,862881
533,917711
296,483384
84,895110
258,086460
515,454205
60,916697
622,912521
7,324820
262,230931
121,189776
628,041025
248,867890
97,927261
59,798620
433,140222
390,678046
70,468202
430,007262
644,012289
557,837143
238,336518
321,433122
292,596154
566,725512
330,981268
509,364933
331,256116
337,730604
384,782757
503,919396
185,218959
221,145226
633,296212
476,022844
257,827424
259,027848
20,164486
10,719410
72,885635
269,034809
335,229447
432,819749
289,783032
100,367425
583,949344
496,974053
341,962242
647,485144
279,841742
573,424830
587,624893
456,001933
41,835270
332,103952
362,072314
550,827800
67,432445
619,434465
116,573764
410,204151
215,331939
495,145486
338,381340
425,214418
260,918794
103,361438
177,901920
110,523213
317,184577
554,495643
106,156435
621,315840
53,721304
22,562425
220,002441
208,815852
285,036765
494,123046
445,675608
43,498269
422,495587
229,485974
624,199230
428,802647
73,106143
375,451382
365,987008
271,325056
113,481844
109,263782
570,186013
406,551852
469,180831
344,978870
426,830202
436,522917
277,008494
90,212931
588,735768
649,097442
434,695058
530,351723
247,968105
170,270323
2,436509
438,296590
450,046742
597,210735
350,853096
272,468032
329,999617
224,947637
40,628120
165,078426
576,197612
164,026155
383,614568
0,814640
467,860024
639,046619
449,473723
532,388845
102,017584
163,713916
556,306919
359,207700
149,065709
419,203395
574,540181
368,345888
206,460532
81,690077
577,663289
207,431885
186,750652
564,535059
68,975505
473,376360
217,619012
38,021486
336,244806
112,156637
393,256874
219,767844
483,790737
309,119964
291,438665
396,908345
370,704508
492,580841
5,090387
562,317832
340,542995
414,857659
297,028814
148,489763
158,118625
349,943143
395,580833
198,584971
108,005220
529,767652
265,599970
302,315238
203,895727
147,524823
278,403105
598,983589
46,459563
131,253725
155,370770
178,583607
643,683426
275,606173
493,156941
501,866241
94,052991
646,443658
489,963776
188,081594
310,112745
25,713761
381,054639
86,010540
481,139443
47,252613
613,340650
17,861067
347,175640
313,154866
294,938498
249,903815
642,515794
183,799497
620,137666
401,230714
499,155220
615,049877
631,499678
421,853579
611,994453
89,996768
404,768752
535,769063
352,241719
105,046593
585,018252
270,518331
474,018248
413,709129
405,264085
400,833725
403,969520
538,438517
412,550612
104,092924
367,174595
45,320878
159,378414
627,104849
563,853031
608,996415
534,499421
263,030019
524,478707
24,316036
168,936796
91,087929
376,694372
61,404162
193,185808
305,475907
268,089510
391,290621
32,130904
488,554547
626,565966
227,492106
547,966308
540,152605
614,632558
306,086726
616,759384
315,171758
192,402968
325,174457
537,726764
77,919230
541,235218
479,107672
551,898723
27,286152
486,614066
266,720093
623,048765
288,862578
466,957377
78,526207
88,259875
536,408834
101,487653
210,642466
140,805895
295,491169
502,316476
253,496274
602,281412
31,378953
36,422081
457,744967
150,283420
251,536264
513,336171
54,843499
35,913722
202,941461
117,952033
354,580095
145,833388
138,164592
385,282841
157,107345
506,019679
521,380864
641,997469
282,726558
4,767212
284,790229
599,831022
240,488243
552,496592
139,978912
218,254666
373,160865
600,273826
374,025543
19,539362
187,317947
172,789180
189,854661
276,165564
201,110195
204,182655
23,886046
179,141070
448,679188
225,561155
195,299942
123,513416
231,752583
517,920394
447,896277
596,455230
167,837121
392,673339
500,665884
580,980285
26,402245
85,035612
648,247443
250,748245
606,841219
548,691995
322,670735
355,188831
607,714866
455,801844
133,785170
308,411772
153,206029
520,674354
141,770751
418,787402
510,431779
175,017687
237,173700
287,923873
334,324603
162,606645
212,148719
161,338649
300,524773
181,347532
76,710762
416,722725
397,477094
458,663640
124,563972
190,780897
429,449113
16,624980
572,843680
356,484144
593,066629
122,267786
442,568582
382,913605
440,265301
497,383067
134,200208
579,078410
581,759683
504,335006
290,067201
319,079675
58,148213
135,567156
498,252619
461,156821
228,534370
360,409217
514,401597
451,665870
441,257569
327,733895
9,597513
487,601757
629,554918
522,963883
12,553142
318,174400
182,076605
388,630380
377,416178
6,600576
482,448423
75,442780
316,550132
114,477880
303,837597
301,639594
64,781522
640,017127
71,126386
465,374880
14,431516
51,590288
246,378001
437,980578
617,572103
136,486068
286,376292
386,445771
544,687210
484,310250
56,596473
394,576257
28,451475
55,145206
351,941997
459,823334
235,834462
264,974113
420,830757
62,224184
267,380902
343,145738
333,783198
364,325664
33,264699
361,336020
472,006503
299,499560
261,884244
156,770278
199,510695
50,974716
52,406752
528,690280
636,892416
216,771366
120,863744
119,958269
460,208545
143,158102
115,929289
591,085204
357,468516
44,003511
174,299718
243,965826
74,076617
65,933974
241,692176
348,171940
49,364712
132,391116
512,397557
96,190815
222,308492
604,480870
527,388768
380,968600
408,323223
