property_id,fha_loan_id,longitude,latitude,geocoding_accuracy,county,county_fips_code,congressional_district_code,census_tract,municipality_fips,municipality_name,hud_property_name,property_street_address,city,state,zip_code,units,assisted_units,property_category_name,property_manager_name,property_manager_phone,associated_fha_loan_id,initial_endorsement_date,original_mortgage_amount,maturity_date,program_category,program_category_2,loan_units,client_group_name,client_group_type,section_of_act_code,servicing_site_name_loan,geom,geom_webmercator
800497929,832930,-80.03732257849909,40.422473461531936,R,Allegheny,42003,17,42066402166,800572735,North Fayette,109 Poppy Canyon,1041 Rey Freeway,Stockton,PA,32816,217,412,Insured-Subsidized,Pasty Cardenas,(412) 751-6800,212139,2022-02-26,134974617,2046-03-21,202/8 NC,None,5,Indv. families - not eld/ handicap	,Family,FNJ,Pittsburgh,POINT (4499809.16234235 -15562681.541115869),POINT (4499809.16234235 -15562681.541115869)
800748331,914981,-80.03155862595311,40.300396905719985,R,Allegheny,42003,13,42039872730,800888055,Findlay,AMR Corporation,644 Broderick Ferry,Columbus,PA,54895,437,7,Insured-Unsubsidized,Olen Wilcox,(412) 834-2219,099305,2006-10-25,9868793,2043-01-01,202/8 SR,None,233,Family & Elderly,Elderly,JYR,OHP,POINT (4486219.662311567 -15558973.841725433),POINT (4486219.662311567 -15558973.841725433)
800727401,668430,-79.82902955047442,40.525749052226224,R,Allegheny,42003,14,42061928650,800607062,Leetsdale,The Polka Dot Bear Tavern,1021 Skyview Rapids,Calumet City,PA,10541,286,144,Insured-Unsubsidized,Luigi Justice,(412) 202-1576,443583,2003-08-23,83121029,2045-07-16,223(a)(7) Refi of 223f Nursing/ ICF,None,92,Family & Elderly,None,HPU,OHP,POINT (4511305.748509812 -15430025.117490666),POINT (4511305.748509812 -15430025.117490666)
800905078,554090,-79.99971692063099,40.28865839115886,R,Allegheny,42003,14,42013328510,800939130,Whitehall,Take-Two Interactive,619 H Run,Rancho Mirage,PA,48695,473,289,Insured-Unsubsidized,Cammie Smith,(412) 693-0585,506750,1995-01-06,73281771,2051-08-05,202/8 SR,None,101,Indv. families - not eld/ handicap	,Elderly,WKK,Pittsburgh,POINT (4484912.936847953 -15538529.627029447),POINT (4484912.936847953 -15538529.627029447)
800617586,261847,-80.11842606747045,40.440194807900504,R,Allegheny,42003,14,42041249250,800902075,Bradford Woods,Full Color,76 Spreckels Lake Station,Chesapeake,PA,55109,362,189,Insured-Unsubsidized,Adalberto Hendricks,(412) 661-6867,234705,1987-07-26,81573132,2041-04-25,202/8 SR,None,263,Elderly,None,MEY,OHP,POINT (4501781.89359627 -15615078.23980591),POINT (4501781.89359627 -15615078.23980591)
800951483,583486,-79.85615232660838,40.45315603744169,R,Allegheny,42003,17,42030056262,800533409,Fox Chapel,STX,1292 Knott Trail,Claremont,PA,18940,404,323,Insured-Unsubsidized,Emerald Holmes,(412) 371-6570,944594,1991-02-28,98820909,2026-05-07,202/8 NC,None,181,Indv. families - not eld/ handicap	,None,NKE,OHP,POINT (4503224.731068849 -15447145.857786767),POINT (4503224.731068849 -15447145.857786767)
800614571,873424,-80.31200186662718,40.44208450402161,R,Allegheny,42003,16,42063178788,800707563,Rosslyn Farms,1348 Bonifacio Center,935 Park Crossing,Mountain View,PA,34493,22,299,Insured-Unsubsidized,Daisey Bell,(412) 501-6489,872644,1987-08-15,107416016,2035-01-26,223(a)(7) Refi of 223f Nursing/ ICF,None,249,Family & Elderly,Elderly,TGK,Pittsburgh,POINT (4501992.253606225 -15741878.672372684),POINT (4501992.253606225 -15741878.672372684)
800336372,096782,-79.92525517392733,40.36639899562067,R,Allegheny,42003,12,42081877787,800555969,Mount Oliver,Vantec,15 Fair Oaks Viaduct,Dearborn Heights,PA,93220,259,137,Insured-Subsidized,Nerissa Holden,(412) 144-4895,785730,1993-02-06,24119984,2026-02-01,202/8 NC,None,345,Elderly,None,VLY,OHP,POINT (4493566.981350603 -15490971.293526983),POINT (4493566.981350603 -15490971.293526983)
800397154,585881,-80.25326426993765,40.513118252345315,R,Allegheny,42003,12,42099608765,800686257,Indiana,Road Runner Lawn Services,1027 Spears Mews,Tallmadge,PA,33621,221,282,Insured-Unsubsidized,Sharita Leonard,(412) 303-6377,633056,2007-04-07,135944449,2037-04-27,202/8 SR,None,343,Assisted Living Care,None,DKH,OHP,POINT (4509899.694298758 -15703139.820000669),POINT (4509899.694298758 -15703139.820000669)
800044053,823387,-79.8417653845533,40.60713680964577,R,Allegheny,42003,18,42065522554,800379008,West Mifflin,Assurant,450 Saddleback Park,Wauwatosa,PA,82802,392,43,Insured-Subsidized,Dick Vasquez,(412) 916-6090,661576,2007-09-25,101936125,2048-11-14,202/8 SR,None,26,Elderly,Family,EIS,Baltimore,POINT (4520365.792222563 -15438058.738951638),POINT (4520365.792222563 -15438058.738951638)
