fha_loan_id,hud_property_name,city,state,initial_endorsement_date,original_mortgage_amount,program_category,units,basic_fha_risk_share_or_other,current_status_of_loan,date_of_firm_issue,firm_commitment_lender,holder_name
336518,Hardee's,Prescott,PA,1994-10-11,95069915,223(a)(7) Refi of 223f Nursing/ ICF,434,Risk Sharing,Finally Endorsed,2020-10-21,Apple Inc.,Apple Inc.
834676,896 Montague Freeway,Wayne,PA,2003-07-20,13039868,202/8 SR,366,Risk Sharing,Initially Endorsed,2020-08-30,Equifax,Biomet
078410,Armstrong World Industries,Claremore,PA,2021-09-15,90075727,223(a)(7) Refi of 223f ALF,60,Hospitals & Group Practice,Finally Endorsed,2023-12-11,Creative Wealth,Earthworks Garden Kare
103961,Orion,Rock Springs,PA,2008-07-19,39452810,223(a)(7) Refi of 223f ALF,456,Basic FHA,Finally Endorsed,2020-01-21,Asian Answers,Ashland Inc.
199230,588 Geary Road,Galt,PA,2023-12-14,21901666,223(a)(7) Refi of 223f Nursing/ ICF,159,Basic FHA,Finally Endorsed,2022-01-19,Convergys Corp.,Enterprise GP Holdings
188831,Better Business Ideas and Services,Selma,PA,1994-07-06,107470528,223(a)(7) Refi of 223f ALF,393,Basic FHA,Initially Endorsed,2022-11-12,Spanx,Quality Realty Service
725512,642 Lake Walk,Lake Charles,PA,1990-10-06,45496891,202/8 SR,60,Basic FHA,Initially Endorsed,2021-05-29,Kenworth,Whirlpool Corporation
862881,American Greetings,Easley,PA,1980-05-04,112199274,223(a)(7) Refi of 223f Nursing/ ICF,87,Basic FHA,Finally Endorsed,2022-10-18,Motorola,Local Matters
919230,78 College Motorway,Portsmouth,PA,1981-02-05,99726691,202/8 SR,145,Hospitals & Group Practice,Initially Endorsed,2020-11-06,J. C. Penny,Cut Rite
524823,377 Devonshire Rapids,Farragut,PA,2017-05-25,24259931,202/8 SR,370,Risk Sharing,Finally Endorsed,2020-12-22,Autoliv,Ernod
716738,Westinghouse Digital LLC,West Hollywood,PA,2012-04-10,65409943,202/8 NC,439,Hospitals & Group Practice,Finally Endorsed,2022-12-11,Zephyr Investments,Red Hat
886046,Infinite Wealth,Pembroke Pines,PA,2011-07-20,21845205,223(a)(7) Refi of 223f ALF,267,Basic FHA,Initially Endorsed,2022-11-04,Adaptabiz,Copeland's
409217,Citigroup,Belvidere,PA,2022-12-04,9614866,202/8 SR,73,Hospitals & Group Practice,Initially Endorsed,2023-06-04,Netstars Matrix Design,Arryx
692176,Omni Tech Solutions,Paterson,PA,2018-12-18,130993568,202/8 NC,426,Hospitals & Group Practice,Finally Endorsed,2023-10-21,FedEx,Dream Home Improvements
002441,1140 East Crystal Cove Arcade,Great Falls,PA,1983-06-30,115435866,202/8 SR,55,Risk Sharing,Initially Endorsed,2021-04-16,Zoom Technologies,Garmin
885635,382 La Ferrera Path,Galt,PA,2020-08-14,120282170,223(a)(7) Refi of 223f Nursing/ ICF,465,Risk Sharing,Finally Endorsed,2020-07-26,Monmax,CIGNA
645850,Idea Infinity,Newport News,PA,1986-10-19,144346938,202/8 NC,28,Basic FHA,Finally Endorsed,2020-08-25,Atari,Adaptec
191587,Friendly Interior Design,Loma Linda,PA,2015-09-10,113128495,223(a)(7) Refi of 223f ALF,470,Risk Sharing,Initially Endorsed,2020-08-21,Renys,Profitpros
252613,579 Gaven Boulevard,Muncie,PA,2019-03-19,76782171,202/8 SR,22,Hospitals & Group Practice,Finally Endorsed,2021-12-30,Advanced Micro Devices,Zune
596473,Magna Gases,Cerritos,PA,1981-11-23,88437197,223(a)(7) Refi of 223f Nursing/ ICF,277,Basic FHA,Finally Endorsed,2022-09-24,World Financial Group,Helping Hand
567156,ManPower,Murrieta,PA,1990-05-23,54899085,202/8 SR,28,Basic FHA,Finally Endorsed,2021-01-29,Naturohair,Science Applications International Corporation
197612,Clear Channel Communications,Lawton,PA,1996-06-09,90380909,223(a)(7) Refi of 223f Nursing/ ICF,27,Basic FHA,Finally Endorsed,2021-02-10,CDI Corporation,Science Applications International Corporation
278397,1256 Lloyd Pike,Haines City,PA,1989-10-16,142765169,202/8 NC,71,Basic FHA,Initially Endorsed,2022-01-15,Raytheon,QuickTrip
485144,Hornbeck Offshore Services,Ardmore,PA,2015-11-10,69775537,202/8 NC,270,Basic FHA,Initially Endorsed,2023-05-19,Fox Film Corporation,Kraft Foods
477880,1249 Everglade Hill,Brookings,PA,1999-12-15,47740057,223(a)(7) Refi of 223f ALF,292,Basic FHA,Initially Endorsed,2023-05-23,Kerr-McGee,JN-International Medical Corporation
710762,Pro Yard Services,Brownwood,PA,1992-02-24,9377019,223(a)(7) Refi of 223f Nursing/ ICF,25,Basic FHA,Finally Endorsed,2023-02-05,Boston Scientific,PACCAR
920394,First Hawaiian Bank,Paramount,PA,1995-09-08,64977505,223(a)(7) Refi of 223f Nursing/ ICF,333,Hospitals & Group Practice,Initially Endorsed,2023-10-18,Ball Corp.,Esselte
079675,Baker Hughes,Deltona,PA,1986-06-30,126463962,202/8 NC,346,Risk Sharing,Finally Endorsed,2020-01-12,Casco Bay Lines,Citigroup
980578,Comodo,Lauderhill,PA,2012-06-23,112143635,223(a)(7) Refi of 223f Nursing/ ICF,227,Hospitals & Group Practice,Finally Endorsed,2021-06-07,Analog Devices,Colt's Manufacturing Company
083134,788 Emery Ranch,Hopkinsville,PA,2009-10-10,138834037,202/8 NC,486,Risk Sharing,Finally Endorsed,2020-02-13,Enrich Garden Services,Goldman Sachs
431779,General Communication,Apopka,PA,2005-08-04,55166657,223(a)(7) Refi of 223f Nursing/ ICF,414,Risk Sharing,Finally Endorsed,2023-01-16,American Financial Group,The Vanguard Group
790229,1184 Acacia Canyon,Clifton,PA,2018-11-04,58697822,202/8 SR,291,Basic FHA,Initially Endorsed,2020-09-16,Qpass,Signa Air
148457,814 Joy Lane,Greenville,PA,1997-01-01,127883363,202/8 NC,28,Hospitals & Group Practice,Finally Endorsed,2020-02-03,Express Merchant Service,Atlas Architectural Designs
806045,631 Lloyd Expressway,Centerville,PA,1991-06-27,146889915,202/8 SR,347,Risk Sharing,Initially Endorsed,2023-11-05,Assurant,Chevron
438517,Cut Above,Maryville,PA,2019-07-05,8689313,223(a)(7) Refi of 223f Nursing/ ICF,402,Basic FHA,Finally Endorsed,2021-12-10,AVST,Integra Design
361746,1052 Garfield Motorway,West Palm Beach,PA,1989-02-24,76032489,202/8 SR,101,Hospitals & Group Practice,Initially Endorsed,2020-02-07,Affiliated Computer Services,American Reprographics Company
988054,1290 Parque Heights,Longmont,PA,2007-01-26,61173488,202/8 SR,240,Basic FHA,Initially Endorsed,2022-04-22,Alladin Realty,Tupperware Brands Corporation
139443,600 Doric Spur,Antioch,PA,1990-06-01,75397046,223(a)(7) Refi of 223f Nursing/ ICF,330,Hospitals & Group Practice,Initially Endorsed,2021-01-12,Spherion,Dex One
905822,Liz Claiborne,Westbrook,PA,2018-11-07,101541259,202/8 SR,308,Risk Sharing,Finally Endorsed,2022-10-14,S3 Graphics,Friendly Advice
230861,327 Birmingham Annex,Reynoldsburg,PA,2012-04-09,16088241,223(a)(7) Refi of 223f Nursing/ ICF,325,Risk Sharing,Initially Endorsed,2023-04-29,Sunny Real Estate Investments,Netcom Business Services
815852,BJ Services Company,Lombard,PA,2018-12-21,100063089,223(a)(7) Refi of 223f ALF,467,Risk Sharing,Finally Endorsed,2023-09-07,AT&T,CIGNA
997469,Science Applications International Corporation,Banning,PA,2019-12-21,5874911,223(a)(7) Refi of 223f ALF,6,Hospitals & Group Practice,Initially Endorsed,2023-10-15,Seattle's Best Coffee,J. C. Penny
035612,Domtar,Ballwin,PA,2016-06-01,108096675,202/8 SR,209,Basic FHA,Initially Endorsed,2021-09-25,Omni Group,Colgate-Palmolive
283420,1195 Sola Court,Watsonville,PA,2003-10-11,21160608,202/8 SR,43,Risk Sharing,Initially Endorsed,2020-02-16,Kimberly-Clark,American International Group
799497,Xerox,Davie,PA,2002-02-26,121799385,202/8 NC,480,Basic FHA,Finally Endorsed,2020-05-23,Victoria's Secret,Wahl Clipper
689617,928 Texas Gardens,Arcata,PA,2000-02-10,43143534,202/8 NC,435,Risk Sharing,Finally Endorsed,2021-04-03,Control Data Corporation,Vaughan & Bushnell Manufacturing
200705,Welch's,North Ridgeville,PA,2021-04-03,4791487,202/8 NC,54,Hospitals & Group Practice,Finally Endorsed,2021-06-26,Oreck Corporation,Matrix Architectural Service
