property_id,hud_property_name,inspection_property_id_multiformat,city,state,inspection_id,inspection_score,inspection_date
800111068,Dover Corporation,PA00019749,Waterloo,PA,566539,32,2016-09-19
800778298,936 Lawton Estate,PA00346181,St. Charles,PA,514918,65,2020-10-13
800123874,707 Main Parkway,PA00476994,Bellingham,PA,579263,99,2023-04-17
800895889,Laserfiche,PA00594764,Fresno,PA,506931,83,2017-11-04
800575269,Prospa-Pal,PA00119368,Helena,PA,531846,53,2023-01-09
800517920,QVC,PA00820193,Neenah,PA,521722,53,2017-08-05
800548101,Apache Software Foundation,PA00859097,Corvallis,PA,688950,32,2023-09-28
800644547,Fellowship Investments,PA00254959,Watauga,PA,646848,33,2022-07-17
800635338,Control Data Corporation,PA00813227,Blythe,PA,500696,95,2016-01-15
800990673,Integra Investment Service,PA00005690,Little Elm,PA,633411,27,2023-10-11
800450196,1397 Highland Bend,PA00618879,Spring Valley,PA,651633,38,2016-01-25
800626575,1393 Chinook Place,PA00029622,Clearfield,PA,526967,34,2016-12-24
800526660,150 Burgoyne Glen,PA00503637,Howard,PA,512082,79,2016-05-17
800448257,Principal Financial Group,PA00674390,Brook Park,PA,683193,31,2019-04-21
800657905,1 Marshall Walk,PA00843596,North Chicago,PA,560201,70,2020-12-05
800465638,Enterasys Networks,PA00904052,Chesapeake,PA,544049,87,2017-05-15
800126316,1367 Melra Motorway,PA00000103,Monterey,PA,563056,65,2020-10-22
800912658,Facebook,PA00450137,Binghamton,PA,655169,96,2015-01-16
800264450,794 Meade Circle,PA00017280,Pawtucket,PA,679200,88,2021-02-16
800460107,340 Candlestick Cove Bayou,PA00678523,Delano,PA,629945,75,2017-03-19
800101782,210 Nelson Rising Viaduct,PA00154856,Phenix City,PA,607324,64,2017-08-22
800566071,1051 Valmar Shore,PA00415207,Mukilteo,PA,625550,90,2020-02-13
800914788,Alexander & Baldwin,PA00553673,Juneau,PA,683373,67,2020-12-22
800686954,Netstars Matrix Design,PA00547494,West Lafayette,PA,639931,88,2016-08-03
800176904,Express Scripts Incorporated,PA00032212,Campbell,PA,585183,83,2017-06-01
800426296,563 Delta Glen,PA00730823,Rolling Meadows,PA,565327,95,2016-09-29
800594267,804 Soule Rapids,PA00249158,Cary,PA,688336,65,2020-12-08
800522815,Texas Instruments,PA00848998,Klamath Falls,PA,692904,87,2016-02-18
800251517,1089 Revello Rapids,PA00355387,Wentzville,PA,501645,27,2022-02-23
800439864,Desert Garden Help,PA00173569,Liberty,PA,517931,90,2023-04-21
800295526,Monk House Maker,PA00289259,Pocatello,PA,656688,93,2022-03-10
800949051,333 Rudden Creek,PA00184785,Newport Beach,PA,599135,42,2017-06-12
800601161,Beasts of Beauty,PA00968134,Brawley,PA,624414,40,2016-08-05
800988101,Stratacard,PA00418239,Laguna Woods,PA,640953,50,2015-10-07
800816341,Quantrix,PA00147835,Morristown,PA,684954,42,2018-01-21
800850896,1214 High Row,PA00862469,East Orange,PA,541563,46,2021-07-01
800886290,798 Hillway Boulevard,PA00404976,Barberton,PA,602725,83,2021-02-22
800875346,200 Charles J Brenham Green,PA00518490,Springdale,PA,560524,72,2016-07-31
800105804,Elizabeth Arden,PA00090606,Covington,PA,687217,38,2022-08-29
800781858,Marriott Corporation,PA00912338,Santa Maria,PA,552985,51,2015-04-19
800497426,Hoyden,PA00571572,Indio,PA,544925,57,2023-08-24
800844176,Testor Corporation,PA00337589,Sioux Falls,PA,617623,48,2021-06-21
800374208,Royal Caribbean International,PA00973296,Hobbs,PA,641879,29,2015-06-03
800951013,Suadela Investment,PA00222111,Alamo,PA,633005,84,2019-05-16
800409348,796 Jakey Stravenue,PA00628110,Carbondale,PA,695584,45,2019-10-15
800282514,Platinum Interior Design,PA00572674,Corpus Christi,PA,642780,28,2016-11-12
800929101,Chargepal,PA00737505,Belleville,PA,594133,47,2022-06-19
800226074,Always,PA00998147,Cortland,PA,511739,78,2015-07-23
800498376,Avery Dennison,PA00308751,Novato,PA,576343,68,2018-10-29
800374291,Edge Yard Service,PA00605703,Tuscaloosa,PA,533238,75,2019-03-25
800572052,Gemini Sound Products,PA00169172,Lathrop,PA,677587,31,2017-12-16
800195870,634 Truby Crossing,PA00649972,Schererville,PA,510198,44,2021-10-13
800906110,The White Rabbit,PA00365304,Salt Lake City,PA,589829,38,2015-04-30
800405616,Supervalu,PA00382624,Southfield,PA,640195,77,2023-02-05
800660322,Fragrant Flower Lawn Services,PA00817126,Nixa,PA,557532,74,2016-05-20
800770823,1177 Nueva Ferry,PA00968641,Leander,PA,618976,49,2015-07-11
800944901,315 Walter Crescent,PA00884433,Andover,PA,696925,33,2023-08-18
800260991,494 Bigelow Shore,PA00411003,Stephenville,PA,541871,88,2018-05-08
800223496,Red River Broadcasting,PA00059242,Brighton,PA,578254,58,2021-10-08
800936938,Hasbro,PA00498333,Southaven,PA,524548,29,2016-09-26
800483670,634 Rivoli Alley,PA00941452,Huntington,PA,629145,71,2018-05-25
800054540,1054 Encanto Lodge,PA00725680,Harrison,PA,510134,92,2018-05-27
800884431,272 Jones Lane,PA00646948,Glendale Heights,PA,521513,49,2016-10-01
800777864,Wealth Zone Group,PA00683088,Darien,PA,656279,70,2018-03-09
800275330,1360 Alpha Field,PA00235248,Lenexa,PA,661357,81,2016-08-16
800893115,756 Clipper Cove Motorway,PA00478552,Avon,PA,630933,67,2021-02-16
800285475,981 Lomita Lake,PA00994197,The Colony,PA,564285,74,2015-08-24
800825431,41 San Pablo Turnpike,PA00319102,New Albany,PA,538591,97,2022-02-20
800287644,510 Hare Crossing,PA00605704,Los Altos,PA,620474,54,2019-09-15
800158884,Asian Plan,PA00754292,Pleasant Prairie,PA,645187,61,2021-12-17
800949377,48 Farnsworth Drive,PA00880796,Ennis,PA,560172,67,2015-11-21
800199252,The Flying Hippo,PA00537061,Yakima,PA,549349,61,2021-09-10
800302182,Dream Home Improvements,PA00465630,Alliance,PA,558317,59,2021-12-31
800971688,731 Gordon Lane,PA00246490,Pompano Beach,PA,625191,33,2021-06-08
800363644,622 La Avanzada Freeway,PA00436405,Fair Lawn,PA,632208,100,2017-06-23
800155020,938 Clarke Turnpike,PA00479417,Waltham,PA,539691,91,2017-04-08
800921033,1174 Walbridge Station,PA00176992,Boston,PA,514316,84,2017-01-18
800738586,1252 Guttenberg Parkway,PA00531667,Cape Coral,PA,561013,77,2015-12-15
800873248,Kimberly-Clark,PA00671715,Aliso Viejo,PA,635779,79,2015-01-31
800815665,914 Morgan Square,PA00620118,Naples,PA,649165,63,2022-11-07
800742807,Dynegy,PA00625027,Cabot,PA,685337,98,2018-04-12
800722361,957 Toland Boulevard,PA00261404,Brandon,PA,531214,61,2019-04-24
800441079,165 San Anselmo Road,PA00095087,Greenbelt,PA,685380,27,2016-06-11
800023182,Alaska Air Group,PA00643832,Rogers,PA,506741,67,2020-12-29
800642191,750 Marengo Point,PA00441510,Mattoon,PA,526837,38,2018-12-27
800310101,WWW Realty,PA00108660,Denver,PA,570585,60,2015-09-04
800740600,1113 Ignacio Path,PA00499597,Lino Lakes,PA,632736,70,2022-01-13
800234749,91 Fitch Ferry,PA00072297,Wilson,PA,611179,99,2021-05-01
800717931,225 Whipple Road,PA00691702,Beverly Hills,PA,696346,93,2020-04-14
800685831,330 Case Point,PA00016521,Belton,PA,639160,60,2019-12-28
800634537,311 Gorham Circle,PA00886409,Tahlequah,PA,563054,40,2022-09-07
800962439,1231 Gladys Shore,PA00772591,Milpitas,PA,633442,79,2023-09-05
800977767,204 Verdi Mews,PA00270211,Scranton,PA,684909,83,2021-05-19
800251820,Smith and Company,PA00277222,Ardmore,PA,562599,63,2023-02-21
800280396,1047 Isola Lane,PA00081744,Rancho Palos Verdes,PA,599291,59,2020-09-22
800521805,Amazon.com,PA00782406,Green,PA,630517,32,2021-04-12
800529558,640 Silliman Rapids,PA00607530,Holyoke,PA,516380,51,2017-10-13
800765907,Harman International Industries,PA00040006,Coronado,PA,591693,50,2017-08-28
800139778,Texas Instruments,PA00903035,Cranston,PA,595565,77,2021-04-23
800173515,1074 Jerrold Trail,PA00868720,Yorba Linda,PA,657193,99,2017-08-06
800854068,290 Ottawa Shore,PA00627576,South Elgin,PA,516876,98,2017-05-13
800322198,CIGNA,PA00710138,Compton,PA,540693,38,2015-12-01
800446681,101 Gallagher Station,PA00529484,Waterloo,PA,501860,40,2020-08-06
800364129,Dynegy,PA00709320,Cupertino,PA,645307,30,2021-02-25
800618753,911 La Avanzada Pass,PA00169381,Lufkin,PA,665490,35,2020-04-19
800715722,Vibrant Man,PA00508223,Round Lake,PA,506565,77,2017-06-06
800476108,1068 Hidalgo Estate,PA00572919,Fort Collins,PA,504500,95,2023-09-29
800267816,Hallmark Cards,PA00428715,Yukon,PA,652716,60,2016-04-15
800647554,240 Steuben Hill,PA00717452,Maricopa,PA,521937,62,2016-12-03
800512774,490 Washburn Court,PA00574974,Athens,PA,503114,54,2020-11-06
800520499,803 Walnut Junction,PA00663274,Iowa City,PA,509136,36,2022-05-10
800483789,Belk,PA00854167,Nicholasville,PA,618084,36,2023-07-12
800287051,"Yum! Brands, Inc.",PA00847109,Sherman,PA,624612,44,2015-07-28
800424998,Opti-Tek,PA00650300,Chaska,PA,523801,94,2016-06-10
800976485,1198 Morrell Center,PA00939000,Lake Forest,PA,555114,63,2023-10-17
800233322,SkyWest Airlines,PA00337400,Santa Ana,PA,598371,52,2022-07-02
800065963,547 East Crystal Cove Hills,PA00729250,Bentonville,PA,582200,57,2015-05-06
800409362,Magna Gases,PA00768083,Delray Beach,PA,630277,56,2015-02-12
800209285,Motorola,PA00207370,Sparks,PA,660887,64,2023-01-31
800367824,DTE Energy,PA00566317,Sunnyvale,PA,548973,74,2019-05-03
800585743,822 Toll Plaza Tunnel Lane,PA00418828,Collierville,PA,683717,78,2018-03-14
800274605,AECOM,PA00564619,Glassboro,PA,635440,95,2016-08-14
800172034,Vulcan Corporation,PA00293514,Strongsville,PA,619822,95,2021-05-29
800806784,Reliable Investments,PA00831547,Lexington,PA,547512,99,2021-08-09
800988976,Formula Gray,PA00570188,Chula Vista,PA,687921,83,2015-01-23
800168340,CNA,PA00575994,Jupiter,PA,581242,56,2016-10-27
800173578,1194 Bowling Green Estate,PA00212886,Los Angeles,PA,559038,65,2019-01-09
800980712,Texas Instruments,PA00847902,Kerrville,PA,619394,98,2021-07-23
800860612,984 Bernal Heights Trace,PA00854344,Hickory,PA,679420,97,2020-08-14
800282808,329 Mclea Landing,PA00906642,Royal Palm Beach,PA,578413,99,2021-03-26
800613207,Brightpoint,PA00451125,Longview,PA,564466,51,2023-03-30
800762633,887 Argonaut Bayou,PA00390525,Pleasantville,PA,536290,51,2022-06-11
800114531,70 Fratessa Gardens,PA00772384,Danville,PA,595408,94,2017-08-13
800700488,957 Samoset Bypass,PA00950662,Bowie,PA,666720,60,2018-05-21
800473992,Gold Leaf Garden Management,PA00807524,Carson City,PA,575865,76,2021-12-04
800282496,1397 Gould Hills,PA00540013,Iowa City,PA,619481,34,2022-10-05
