development_code,longitude,latitude,geocoding_accuracy,county_fips_code,census_tract,municipality_fips,municipality_name,hud_property_name,property_street_address,city,state,zip_code,units,owner_organization_name,participant_code,formal_participant_name,project_name,total_dwelling_units,acc_units,total_occupied,regular_vacant,pha_total_units,percent_occupied,people_per_unit,people_total,rent_per_month,median_inc_amnt,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_lt80_median,pct_lt50_median,pct_lt30_median,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,chldrn_mbr_cnt,eldly_prcnt,pct_disabled_lt62_all,national_building_id,geom,geom_webmercator
PA00234536,-79.98224788908527,40.43141081946343,R,42003,42007669745,800250241,Indiana,1324 Corbett Crossing,78 Wheat Pike,Anaheim,PA,41049,287,Housing Authority of Harrison,PA003,Excella,Shrader,366,147,235,11,2014,43,2.97,628,238,189206,1360,9460,41.0040009352,55.6009368255,40.8800427849,35.1571140385,17.8601384878,94.976544729,98.6619436347,80.4826433828,98.985143488,78.9362601173,24.5331229311,0.4621774948,69.797125891,77.5529115666,59.6449068472,7,71.448555173,34.2526359948,1569320000,POINT (4500804.0644763205 -15527340.854268609),POINT (4500804.0644763205 -15527340.854268609)
PA00647191,-80.06730382905862,40.64893609299616,T,42003,42013110242,800175959,Lincoln,1353 Portola Pike,58 Springfield Alley,Eagan,PA,84313,301,Housing Authority of Verona,PA007,Antec,Ironwood,241,337,430,50,1159,80,2.67,564,309,104197,4465,6115,37.7295936151,32.1326376143,3.0743738042,2.1445497199,22.3135569425,94.7505666391,89.2376199621,80.7025393377,44.5315381287,21.9833324847,48.3643352716,18.7354974224,89.2053148315,21.4845715361,84.3858242562,17,47.9659654687,9.4074940848,5869010000,POINT (4525018.867160652 -15582001.486474335),POINT (4525018.867160652 -15582001.486474335)
PA00639135,-79.81909529295334,40.32400489072495,4,42003,42052305695,800528960,East McKeesport,696 De Montfort Gardens,945 Folsom Freeway,Spanish Fork,PA,87227,89,Housing Authority of Pine,PA007,Strategy Planner,Vermont,244,247,35,2,810,78,2.99,1095,303,210957,1896,5277,32.7925085495,15.5376905295,11.8058100671,17.2050049399,4.5568238924,93.3893887153,74.0851579965,64.62138558,41.2344160815,16.1136927293,12.9188732156,16.2325128948,48.483965887,38.1700124649,22.2077528837,23,6.6042675617,52.580566853,4982050000,POINT (4488847.691180975 -15423765.606238496),POINT (4488847.691180975 -15423765.606238496)
PA00112725,-79.8205829621523,40.457987035049584,R,42003,42001498440,800221103,Mount Oliver,Monk House Sales,914 Cuvier Point,Andover,PA,56357,454,Housing Authority of West Mifflin,PA008,Mozilla Foundation,Mojave,77,309,267,19,2015,60,1.76,253,235,109169,7367,7220,20.234462827,13.9200471139,13.0192261377,21.0251582029,46.9653321053,97.1222149936,72.032911702,62.5562123068,0.1954531283,36.9530509422,29.3069405929,23.822252021,27.4984865284,61.0539778513,37.0679710596,20,63.6688106295,40.3597756785,8829470000,POINT (4503762.515262584 -15424702.592107601),POINT (4503762.515262584 -15424702.592107601)
PA00415727,-79.94716437544801,40.59964630453394,B,42003,42059587137,800906140,Etna,737 Yosemite Park,845 Presidio Arcade,South Portland,PA,57937,76,Housing Authority of Bethel Park,PA004,Rayovac,Conwell,184,76,14,23,1462,49,1.0,55,319,197029,13125,10504,17.7108743377,72.1756125023,44.2249897595,25.1322475771,7.5875336868,96.6465217298,74.8096169876,99.2922360226,0.0405065446,78.4362804113,43.9140054069,43.2919044297,87.1056016679,32.7227249899,96.3298840243,30,50.3553627619,9.2941160241,9592490000,POINT (4519531.95300773 -15504928.36825928),POINT (4519531.95300773 -15504928.36825928)
PA00404526,-79.86878049216392,40.444774162284716,T,42003,42044909261,800794001,Haysville,1263 Third Cove,47 Lockwood Road,Lakewood,PA,71953,324,Housing Authority of Findlay,PA003,Seksi Ladi,Desmond,439,256,114,25,2549,0,1.28,659,406,156882,9312,11647,19.8321168895,10.1248604594,20.9804418822,26.4851965474,11.8849987652,92.8453470095,74.1959701887,55.2939431168,84.901939002,85.6057693204,27.634302193,39.9773976693,67.7275294357,24.5530819489,97.4745719458,6,87.5574087843,14.6865214516,3805420000,POINT (4502291.664994482 -15455132.609620355),POINT (4502291.664994482 -15455132.609620355)
PA00481194,-80.17227912081775,40.340445787444125,4,42003,42071194182,800691981,Dormont,757 West Clay Bypass,884 Powell Spur,Allen,PA,04011,85,Housing Authority of Glassport,PA006,Federal Home Loan Mortgage Corporation,Justin,107,316,280,23,1778,11,2.54,113,237,203120,5621,5600,25.8274656306,73.9025634772,46.1359143902,8.2361772036,13.4819025852,99.2639013187,95.0466621885,50.8525595297,15.4287113938,98.7593815089,20.688728709,15.413720178,61.2696782115,41.8464288686,21.9291336272,10,5.1583461472,24.6148953261,4725160000,POINT (4490677.8834319385 -15650105.61054513),POINT (4490677.8834319385 -15650105.61054513)
PA00750018,-80.27390920408574,40.46850273273018,B,42003,42004883033,800412782,Dormont,1161 Glenhaven Garden,326 Melra Ferry,Bensenville,PA,63756,129,Housing Authority of McKees Rocks,PA001,Costco,Foote,273,236,49,28,1483,75,3.79,1199,389,107583,3360,16378,5.4950693627,8.2147937863,39.327418031,6.3227324809,46.019080664,99.6464744755,85.6382706026,92.8263449459,96.4037790063,40.1843084925,48.1549653698,11.4736855568,18.4221565813,73.9424752649,26.7983404613,28,72.5017574177,23.8291725078,4742710000,POINT (4504933.117373724 -15716729.233509023),POINT (4504933.117373724 -15716729.233509023)
PA00081517,-80.11782194561853,40.37848315385789,R,42003,42059423530,800791191,Glen Osborne,Mozilla Foundation,767 Music Concourse Access Junction,New Berlin,PA,05337,251,Housing Authority of Bridgeville,PA006,Las Vegas Yard Management,Britton,169,491,441,12,2217,43,1.68,847,247,83794,3717,7809,34.8775659267,41.4652389381,26.663213927,5.1892998551,0.749864642,96.2412785806,77.97482258,61.4127270145,75.9172493368,37.5825697169,28.9969397671,36.2720723547,36.7677520524,36.7826647612,72.3282943262,22,64.1467833712,23.4850418976,8334130000,POINT (4494912.183692236 -15614686.376823226),POINT (4494912.183692236 -15614686.376823226)
PA00263069,-79.82251285511691,40.48263138230558,T,42003,42038742164,800141414,Glassport,869 Gardener Glen,1228 Parkhurst Trace,Syracuse,PA,07737,500,Housing Authority of South Versailles,PA003,United Services Automobile Association,Scotland,149,221,292,48,1290,83,3.53,1447,289,98600,10950,8640,29.3087060756,22.2067825719,27.4334646693,30.7577283563,3.6415052549,91.8185156629,87.0856383928,66.93384737,1.7864641501,30.529727314,22.3102714903,29.3613717672,43.4169418689,20.5936230618,88.2953761169,21,72.9072875833,53.243054307,1098040000,POINT (4506505.911450054 -15425918.307817517),POINT (4506505.911450054 -15425918.307817517)
