lihtc_project_id,normalized_state_id,latitude,longitude,census_tract,census_tract_2000,county_fips_code,municipality_fips,hud_property_name,property_street_address,city,state,zip_code,units,assisted_units,count_0br,count_1br,count_2br,count_3br,count_4br,federal_id,state_id,lihtc_credit,lihtc_construction_type,lihtc_year_allocated,lihtc_year_in_service,lihtc_amount,fmha_514_loan,fmha_515_loan,fmha_538_loan,scattered_site_ind,geom,geom_webmercator
PAA93739162,PAA04939362,40.39276641352429,-80.16962414933987,42043701960,42048441308,42000,3022799,293 Montalvo Ranch,665 Irwin Hill,Dolton,PA,19288,233,597,350,157,74,52,33,PAA42664791,PAA98470872,Both,New construction,1988,2008,23647,True,True,True,Y,POINT (4496502.188885167 -15648374.301969714),POINT (4496502.188885167 -15648374.301969714)
PAA27457384,TC3670-4384,40.460265124822726,-79.81404082589557,42004661507,42047966199,42003,2144413,665 Arthur Garden,1019 Corbett Creek,Vallejo,PA,80986,451,224,230,186,79,94,38,PAA04331495,PAA22642753,30 percent present value,Acquisition and Rehab,2017,1982,79904,True,False,True,Y,POINT (4504016.111056111 -15420583.138601199),POINT (4504016.111056111 -15420583.138601199)
PAA55605570,TC4233-2272,40.40920644666481,-80.07839965050708,42012481797,42066420342,42003,5946371,BlackRock,59 Battery Safford Cove,Shoreline,PA,89273,501,452,396,199,33,73,2,PAA20345203,TC6475-7412,Both,Acquisition and Rehab,1997,1986,15886,True,True,True,Y,POINT (4498332.285002994 -15589166.28370103),POINT (4498332.285002994 -15589166.28370103)
PAA24145470,PAA47079964,40.51142677964248,-79.92434605723358,42033828989,42054346841,42002,1875479,Bristol-Myers Squibb,1271 Agua Route,Fall River,PA,16463,697,437,68,36,62,46,22,PAA78836136,PAA07599287,30 percent present value,Acquisition and Rehab,1992,1983,None,False,True,,N,POINT (4509711.400418787 -15490392.797582254),POINT (4509711.400418787 -15490392.797582254)
PAA62225867,TC6749-8156,40.35397302467064,-80.0539201179987,42093525722,42070151466,42005,8085333,Hardee's,3 Edinburgh Route,Edwardsville,PA,61063,425,24,80,109,11,37,49,PAA30167466,TC4684-8458,Both,New construction,1986,2017,65735,False,,,Y,POINT (4492183.728591833 -15573369.887565428),POINT (4492183.728591833 -15573369.887565428)
PAA64663323,TC9527-7343,40.51804245609617,-79.86360653142447,42090768177,42069293794,42009,7280646,1094 Dow Canyon,724 Himmelmann Drive,North Las Vegas,PA,07613,655,243,185,150,59,41,66,PAA31156971,PAA81673199,None,Acquisition and Rehab,1991,2011,36802,False,,,N,POINT (4510447.854152865 -15451859.119491115),POINT (4510447.854152865 -15451859.119491115)
PAA40596474,TC7658-7702,40.42279907447905,-80.2174434906191,42070032126,42028994490,42009,1836429,Cognizant Technology Solutions,3 Fanning Arcade,Cambridge,PA,38960,549,274,152,174,47,18,53,PAA40136554,PAA55584445,70 percent present value,New construction,2006,1990,None,True,True,False,Y,POINT (4499845.409409818 -15679628.488848424),POINT (4499845.409409818 -15679628.488848424)
PAA10161248,PAA05546724,40.28420878287804,-79.84793185508757,42052460165,42069029502,42009,3366962,1183 James Plaza,620 Locust Arcade,Duncanville,PA,40647,369,429,257,25,2,100,42,PAA28786625,PAA74055160,30 percent present value,New construction,2007,2020,None,True,True,True,N,POINT (4484417.608719902 -15441952.061142514),POINT (4484417.608719902 -15441952.061142514)
PAA64332702,PAA83795398,40.57732232930885,-80.00396728485629,42016417778,42091883599,42006,0480581,722 Easement Spur,791 Al Scoma Square,Eustis,PA,40098,289,162,243,121,76,51,34,PAA85371269,TC8881-2750,Both,Acquisition and Rehab,2002,2012,33294,False,False,False,Y,POINT (4517046.85945319 -15541254.876914943),POINT (4517046.85945319 -15541254.876914943)
PAA76527291,TC3002-4899,40.35223805748123,-79.83095466032555,42038650182,42054564261,42002,8692119,1255 Apollo Landing,1332 Carmelita Point,North Ogden,PA,77434,429,304,57,13,11,37,10,PAA07635058,PAA97150496,Both,Acquisition and Rehab,1994,1993,93964,True,True,,N,POINT (4491990.592927765 -15431238.816430232),POINT (4491990.592927765 -15431238.816430232)
PAA00970768,PAA78967966,40.50585741888016,-80.2668544191494,42060298728,42081038590,42006,9565561,MagnaSolution,688 Flounder Gardens,Loveland,PA,45864,123,496,159,181,58,40,71,PAA24019757,PAA90307103,None,Acquisition and Rehab,2010,2005,None,,,False,N,POINT (4509091.422014683 -15712082.250044847),POINT (4509091.422014683 -15712082.250044847)
PAA78539844,PAA80401734,40.667650161307215,-80.09173996685077,42002268368,42083708960,42003,5994081,821 Merrie Freeway,475 Old Decatur Highway,Arlington Heights,PA,02777,147,187,345,30,83,52,38,PAA54729656,TC9158-2728,70 percent present value,New construction,2021,2007,50674,False,,False,N,POINT (4527102.107715709 -15597790.905979099),POINT (4527102.107715709 -15597790.905979099)
PAA12525042,TC3568-3469,40.456482765329696,-80.06887763679228,42094509277,42046190212,42000,3868496,Auto-Owners Insurance,843 Clinton Mall,Joplin,PA,39319,393,64,44,179,3,22,63,PAA03862781,TC8836-3229,30 percent present value,New construction,2008,2015,71632,False,,True,N,POINT (4503595.060723349 -15583017.243719617),POINT (4503595.060723349 -15583017.243719617)
PAA99728688,PAA43996093,40.53808266785975,-79.78691382570743,42020390529,42054145783,42009,0555019,Shirokiya,516 Collingwood Boulevard,Burlingame,PA,86884,616,561,164,139,75,79,28,PAA42990396,PAA05765562,30 percent present value,Acquisition and Rehab,1983,2020,80486,True,False,,N,POINT (4512678.720321776 -15403529.690413173),POINT (4512678.720321776 -15403529.690413173)
PAA83417947,PAA75669608,40.5667622900353,-80.0837522412353,42099801342,42066151546,42000,1114305,Alcoa,1049 Divisadero Center,Midvale,PA,64368,117,83,283,169,3,47,57,PAA37159491,TC9358-2779,30 percent present value,Acquisition and Rehab,2004,2011,52837,True,False,True,Y,POINT (4515871.321258502 -15592625.396977633),POINT (4515871.321258502 -15592625.396977633)
PAA94818116,TC7513-2847,40.44823997722413,-79.97128395440653,42016428422,42002956173,42008,1214621,1141 Erie Mall,307 East Lodge,Orland Park,PA,99728,33,226,243,195,24,4,55,PAA68394691,PAA72001684,30 percent present value,New construction,1995,1996,None,,False,True,Y,POINT (4502677.477748721 -15520328.402788313),POINT (4502677.477748721 -15520328.402788313)
