pmindx,hud_property_name,assisted_units,total_lihtc_allocation,unit_restriction,lihtc_credit,lihtc_year_allocated,lihtc_year_in_service,last_year_of_rca
1951,Xray Eye & Vision Clinics,91,5384827,20% at 50% AMI,30 percent present value,2006,2001,2046
3593,Infinite Wealth,161,4005219,0% at 0% AMI,30 percent present value,1993,2006,2031
5010,1270 Coral Center,37,5927068,0% at 0% AMI,30 percent present value,1996,2018,2032
4662,171 Laidley Manor,75,2979805,40% at 60% AMI,30 percent present value,1995,2013,2026
5846,1225 Mclaren Lodge Access Spur,55,181091,40% at 60% AMI,70 percent present value,2003,2004,2050
545,Plan Smart,69,11338701,20% at 50% AMI,30 percent present value,1994,2017,2026
3464,423 El Mirasol Terrace,57,564255,0% at 0% AMI,70 percent present value,1994,1999,2033
6000,501 Persia Turnpike,75,10086819,40% at 60% AMI,70 percent present value,1991,1998,2034
2765,975 Montgomery Avenue,113,993386,20% at 50% AMI,30 percent present value,2014,2019,2042
6362,834 Gladeview Extension,177,14199807,20% at 50% AMI,30 percent present value,2013,2019,2044
1084,604 Kennedy Lodge,137,5727517,0% at 0% AMI,30 percent present value,2008,1997,2044
1430,1242 Hahn Mews,21,10351886,40% at 60% AMI,30 percent present value,2005,1996,2024
6938,Agriprocessors,107,9859795,40% at 60% AMI,70 percent present value,2009,1995,2046
1316,Realty Depot,74,13102343,0% at 0% AMI,30 percent present value,2003,2007,2046
5285,1018 Federal Annex,78,326383,40% at 60% AMI,30 percent present value,1990,2008,2039
2086,Fresh&Easy Neighbourhood Market,39,8537159,20% at 50% AMI,70 percent present value,1990,2019,2047
448,507 Belgrave Ferry,88,12564914,40% at 60% AMI,30 percent present value,1995,2019,2030
6615,1051 Garrison Freeway,6,14972344,0% at 0% AMI,70 percent present value,2013,2013,2028
1176,284 Fredela Square,160,1553329,0% at 0% AMI,70 percent present value,1996,2001,2039
2617,Independent Investors,156,9584294,40% at 60% AMI,70 percent present value,2017,2017,2021
1710,556 Kramer Bridge,14,6841735,20% at 50% AMI,70 percent present value,1994,2017,2025
4792,AECOM,174,3964737,20% at 50% AMI,70 percent present value,2017,1999,2025
1140,Martel Communication,177,11084883,20% at 50% AMI,70 percent present value,2016,2004,2034
6364,1346 Danton Cove,36,2310964,20% at 50% AMI,30 percent present value,2000,2018,2036
685,272 Santa Ynez Heights,30,13173213,0% at 0% AMI,70 percent present value,2009,2004,2032
3333,684 Marina Turnpike,108,683367,20% at 50% AMI,30 percent present value,1994,2020,2028
1246,Intel,158,5170677,0% at 0% AMI,70 percent present value,2002,1996,2044
6682,Honeywell,78,2414913,20% at 50% AMI,70 percent present value,2005,2014,2022
2157,1389 Bannan Pass,4,14070109,20% at 50% AMI,70 percent present value,1998,2009,2043
803,Rayovac,112,5346598,20% at 50% AMI,70 percent present value,2008,2013,2047
1556,126 Beatrice Bridge,64,14777523,0% at 0% AMI,30 percent present value,2018,1997,2044
2639,113 Kempton Junction,92,8047078,0% at 0% AMI,30 percent present value,2006,2011,2039
1278,Arch Coal,50,14423762,20% at 50% AMI,30 percent present value,1995,2004,2050
695,542 Market Shore,190,3898831,0% at 0% AMI,70 percent present value,2020,2016,2032
6799,Applebee's,75,3635157,20% at 50% AMI,70 percent present value,1990,2005,2029
979,885 Capitol Landing,141,6387113,0% at 0% AMI,70 percent present value,2016,2014,2040
