projectidentifier_id,projectindex_id
505,PAA36631740
48,PAA56676235
365,PAA17568759
542,PAA99502382
541,PAA32587606
1013,PAA38388249
194,PAA82917266
550,PAA63034113
1111,PAA41945321
1166,PAA91572093
989,PAA76232136
1048,PAA18533465
385,PAA92787175
891,PAA18668083
898,PAA95588370
871,PAA25708456
86,PAA42200275
26,PAA77312092
360,PAA31391822
805,PAA46035332
105,PAA47880752
1067,PAA16733688
72,PAA53058827
829,PAA12525042
896,PAA93955990
533,PAA18724019
1226,PAA29961465
674,PAA42806962
311,PAA18640688
1161,PAA41828144
761,PAA84535675
1191,PAA91098225
1233,PAA29067787
908,PAA95362642
845,PAA58299711
669,PAA27570641
564,PAA84803626
1050,PAA25300732
834,PAA28116912
671,PAA64270759
1061,PAA07120766
450,PAA00441765
1104,PAA63597285
99,PAA53693487
462,PAA07626180
809,PAA85491717
828,PAA55492189
474,PAA96973043
1119,PAA85999532
980,PAA00859284
377,PAA97770182
212,PAA45419985
328,PAA37872774
199,PAA62001466
884,PAA88581477
950,PAA82609355
1263,PAA33857012
979,PAA84069209
43,PAA75171464
1092,PAA08333771
403,PAA73042904
931,PAA04483931
59,PAA30102943
53,PAA09530074
236,PAA79957314
526,PAA00258915
987,PAA20577485
820,PAA21683763
566,PAA13993248
948,PAA30612561
701,PAA42536979
333,PAA56084602
740,PAA34390671
1014,PAA33293370
976,PAA17729829
1231,PAA92997241
938,PAA72313765
238,PAA87872416
502,PAA08182609
966,PAA45507405
128,PAA69521326
1181,PAA25210797
736,PAA86765123
1299,PAA76527291
198,PAA92564232
691,PAA07023858
803,PAA17399851
836,PAA23156471
560,PAA64754348
641,PAA48667613
893,PAA20156901
1157,PAA78998937
168,PAA23626172
1183,PAA05222295
30,PAA10064924
341,PAA29022912
187,PAA39115544
320,PAA81529055
832,PAA15444724
846,PAA56944181
33,PAA76037575
790,PAA96610423
996,PAA83102462
177,PAA24208289
839,PAA21142671
910,PAA22157329
362,PAA04912399
559,PAA51621689
1283,PAA39619215
692,PAA82190019
337,PAA50851171
1149,PAA14749348
742,PAA19502015
1096,PAA40968416
1117,PAA13267631
615,PAA73665521
654,PAA42064109
484,PAA33001489
588,PAA91947570
1237,PAA32939782
507,PAA36435154
1051,PAA68290516
0,PAA88524473
831,PAA90794662
651,PAA98601654
798,PAA13237734
900,PAA00461749
813,PAA01478122
1114,PAA90889082
1151,PAA64221464
810,PAA82908198
1141,PAA04943936
1085,PAA30506300
986,PAA53415276
1214,PAA84640029
47,PAA16465001
932,PAA53687925
130,PAA08862748
867,PAA40512930
1084,PAA01765091
956,PAA96887700
1240,PAA15185712
139,PAA63791197
277,PAA11056374
650,PAA61155579
940,PAA08129909
89,PAA61077657
443,PAA15519312
1041,PAA22092277
591,PAA21223327
969,PAA12334641
1198,PAA62621243
249,PAA47028591
523,PAA28837561
1123,PAA50783308
757,PAA93155680
279,PAA49206975
1065,PAA35547518
125,PAA70467925
83,PAA82238659
791,PAA90862424
925,PAA05519898
873,PAA48370728
1070,PAA41139275
85,PAA12530337
590,PAA33020058
67,PAA98051080
393,PAA68584648
1030,PAA36672207
1259,PAA86034580
711,PAA47563115
296,PAA91516598
24,PAA13146559
1175,PAA05315931
1245,PAA61282496
201,PAA29634246
39,PAA03044482
348,PAA93041972
1162,PAA21912084
255,PAA26723148
5,PAA21846514
821,PAA69894537
425,PAA60831953
196,PAA58247807
1227,PAA32606345
1024,PAA91711748
544,PAA20814780
1244,PAA89554657
918,PAA35130594
717,PAA71378560
413,PAA24670148
358,PAA82487067
285,PAA38780979
344,PAA65802651
817,PAA68470005
1068,PAA44822365
15,PAA13298296
129,PAA83834281
1154,PAA60649955
919,PAA58417976
965,PAA26892198
611,PAA53030367
1216,PAA25810825
681,PAA81910286
1262,PAA01198967
907,PAA27801736
405,PAA47517287
1032,PAA06011042
291,PAA50910614
135,PAA56945335
370,PAA50967207
374,PAA27592524
522,PAA64745684
350,PAA11266776
914,PAA85503632
363,PAA75837363
917,PAA61125334
90,PAA48835280
442,PAA17373840
527,PAA81779256
1256,PAA98203144
78,PAA50851513
292,PAA33492384
1266,PAA13919225
763,PAA60786623
934,PAA30046927
1217,PAA19515490
11,PAA44636433
396,PAA00316928
1282,PAA27020578
345,PAA07678339
551,PAA56896843
929,PAA53303938
1265,PAA91348695
861,PAA34822597
733,PAA26189569
1159,PAA19863405
546,PAA91664316
1206,PAA51015689
246,PAA72515414
204,PAA08297192
132,PAA64209592
433,PAA02200803
563,PAA31288019
36,PAA03221879
338,PAA94401284
266,PAA84779559
142,PAA40814018
1027,PAA62479446
150,PAA11665747
391,PAA21237296
837,PAA63139146
1016,PAA84496273
1277,PAA21218678
945,PAA72665283
870,PAA55062371
728,PAA54520225
455,PAA80045848
259,PAA85436561
1066,PAA69316265
754,PAA81680938
419,PAA93199793
630,PAA58815435
947,PAA83020002
317,PAA89289731
431,PAA58108273
912,PAA68015220
415,PAA58149582
658,PAA49994904
214,PAA04520500
575,PAA07965208
531,PAA38987668
748,PAA36216506
1222,PAA87730357
688,PAA46323966
558,PAA96705774
639,PAA49567388
342,PAA21862990
1004,PAA31520113
990,PAA41291601
372,PAA40645559
170,PAA44422182
210,PAA92721837
569,PAA67516884
447,PAA81024641
495,PAA96566419
1252,PAA86567628
997,PAA68841620
243,PAA31582007
103,PAA10165751
1241,PAA59989289
40,PAA38982493
137,PAA24036563
668,PAA10659387
383,PAA77980242
110,PAA17585017
54,PAA28203251
324,PAA87478567
1170,PAA95993627
131,PAA74281761
273,PAA34017707
407,PAA08644011
614,PAA38993367
637,PAA83726881
107,PAA56332237
697,PAA74108545
1145,PAA51292839
646,PAA32568157
518,PAA93384530
864,PAA75309448
675,PAA35306753
432,PAA71302365
1103,PAA77147087
1288,PAA60513553
149,PAA38248627
1220,PAA04692638
438,PAA49059080
1182,PAA15185193
656,PAA61343549
1271,PAA53386984
520,PAA60581609
1118,PAA05222517
242,PAA18253125
215,PAA41224571
661,PAA50943465
1178,PAA15239718
174,PAA69333294
800,PAA85762518
195,PAA36835236
753,PAA03772514
715,PAA55147710
619,PAA94316886
964,PAA57071071
977,PAA37267238
1225,PAA13214993
773,PAA26769020
1134,PAA91955934
516,PAA77245575
605,PAA19921151
673,PAA61341397
303,PAA67643741
308,PAA39790596
570,PAA34801441
209,PAA78464560
217,PAA95601341
213,PAA47693117
638,PAA51881579
1172,PAA74190425
1074,PAA69065499
1293,PAA39969932
574,PAA52530591
28,PAA29159861
862,PAA62349791
18,PAA36237824
709,PAA93142424
470,PAA14412398
123,PAA94818116
182,PAA67393816
117,PAA45490260
457,PAA83920193
436,PAA59874484
1089,PAA61655183
1057,PAA78996919
562,PAA77799140
368,PAA37495449
301,PAA96275517
923,PAA76628159
1053,PAA52020500
1289,PAA46973323
930,PAA17432998
1011,PAA84765195
1150,PAA72527728
148,PAA22489712
875,PAA36819776
887,PAA91847226
786,PAA43278224
747,PAA26460116
582,PAA06420337
807,PAA03981820
952,PAA89195596
188,PAA64906689
1273,PAA80309290
247,PAA38930103
1215,PAA19311024
578,PAA33954880
706,PAA17988329
819,PAA55605570
322,PAA08027659
122,PAA35494208
426,PAA65546864
1185,PAA71596442
264,PAA59029153
307,PAA13748592
449,PAA27660820
65,PAA74112486
309,PAA49607225
41,PAA20566627
1,PAA81739780
1192,PAA57080967
1137,PAA08982193
1210,PAA38491081
600,PAA85525623
219,PAA81449251
937,PAA64416564
386,PAA59307060
545,PAA98829482
287,PAA29236215
603,PAA68790557
476,PAA24333769
503,PAA29991328
379,PAA37403782
662,PAA78955245
657,PAA74917094
765,PAA26440924
1173,PAA82360909
685,PAA54797530
978,PAA39928208
269,PAA39720460
983,PAA46895297
903,PAA27986065
1095,PAA61842316
1071,PAA87761047
1279,PAA49519638
677,PAA08690664
682,PAA81860779
171,PAA95067603
64,PAA03896694
552,PAA77005243
726,PAA10806975
868,PAA60185494
718,PAA35223719
849,PAA08517494
1077,PAA33987819
985,PAA41318118
713,PAA31793025
1042,PAA32074609
1127,PAA37505008
968,PAA56023869
998,PAA18242224
508,PAA81696171
686,PAA17284101
1257,PAA79614217
206,PAA47445895
704,PAA15012172
361,PAA02723230
999,PAA53360860
1060,PAA73404678
100,PAA46341559
749,PAA63408865
229,PAA79012028
772,PAA83334774
116,PAA86997025
499,PAA33483590
460,PAA75173706
795,PAA15671562
469,PAA54088926
1291,PAA12983317
1046,PAA90444999
555,PAA14968355
1207,PAA12195880
261,PAA59560359
521,PAA89545023
1075,PAA23539667
1204,PAA29158052
905,PAA47322249
920,PAA22282014
147,PAA68377188
759,PAA39956930
525,PAA16303325
777,PAA12159777
1113,PAA57558589
579,PAA74509341
71,PAA89280485
1232,PAA93079115
230,PAA98968826
1099,PAA23505691
529,PAA91674082
1177,PAA37202507
166,PAA96669619
865,PAA17167481
1153,PAA75172946
1281,PAA69569763
892,PAA81434571
316,PAA94619346
806,PAA03942470
23,PAA71590921
714,PAA50014940
101,PAA34986895
3,PAA89948281
197,PAA66851925
725,PAA92086796
1033,PAA11526271
780,PAA97746494
227,PAA78689619
1087,PAA44104334
568,PAA52818833
1130,PAA58647512
667,PAA35304468
640,PAA43263533
111,PAA77754150
454,PAA41683073
25,PAA35258773
1160,PAA12287721
922,PAA82934694
325,PAA19036468
812,PAA72087802
1034,PAA68504877
547,PAA35799175
962,PAA26298026
402,PAA98131351
487,PAA27268749
256,PAA29356317
155,PAA07403986
494,PAA12295433
497,PAA52960870
776,PAA41406147
509,PAA73689481
1176,PAA11581671
417,PAA36765725
933,PAA63486015
783,PAA61050344
233,PAA09244395
136,PAA81926318
721,PAA07824992
178,PAA07864608
1221,PAA12877539
698,PAA73830859
463,PAA97134249
593,PAA33664930
1018,PAA36899454
399,PAA41496846
539,PAA13137718
585,PAA84935310
121,PAA34915529
409,PAA99829892
649,PAA56148055
737,PAA19824673
1188,PAA60512735
1124,PAA56041430
235,PAA92803338
787,PAA38463882
104,PAA67436661
275,PAA01288400
842,PAA66944573
299,PAA78013156
479,PAA53142845
1278,PAA43657261
1296,PAA87523160
921,PAA66286996
797,PAA84116149
1020,PAA51554051
17,PAA36667348
118,PAA25134215
517,PAA70372768
268,PAA12950267
899,PAA29007654
1025,PAA64332702
1035,PAA67490023
38,PAA79265651
1295,PAA08009126
113,PAA73971348
1224,PAA79560025
610,PAA08292924
833,PAA41286057
994,PAA84395532
823,PAA51126739
