property_id,hud_property_name,assisted_units,count_0br,count_1br,count_2br,count_3br,count_4br,count_5plusbr,contract_id,program_type,subsidy_start_date,subsidy_expiration_date,contract_duration_months
800824507,520 Folsom Lake,530,5,88,83,61,93,0,PA77DIC4669,223(a)(7) Refi of 223f ALF,2023-02-14,2043-06-29,86
800904975,626 Ervine Park,382,141,256,163,65,41,10,PA64JEO9488,202/8 NC,2016-05-16,2021-01-28,168
800758196,Manu Connection,10,33,210,76,91,76,8,PA47FRS8725,223(a)(7) Refi of 223f ALF,1980-10-07,2041-06-23,249
800306235,1400 Hahn Bend,224,174,349,105,70,47,8,PA41TEA4502,202/8 SR,2004-09-07,2030-06-03,599
800665554,The Walt Disney Company,98,152,490,90,35,12,7,PA42KNM2807,202/8 SR,1991-08-17,2034-10-03,616
800884291,Mutual of Omaha,296,169,289,181,6,89,1,PA18WVJ8018,223(a)(7) Refi of 223f ALF,2014-12-22,2038-01-13,27
800675045,179 Halyburton Viaduct,537,167,404,148,69,29,10,PA27NRB9007,202/8 NC,2002-01-12,2022-01-20,454
800971655,838 Tuscany Freeway,478,105,245,173,83,96,2,PA17WYS0882,223(a)(7) Refi of 223f ALF,2008-12-05,2024-03-02,288
800372093,1109 Colton Ranch,258,165,97,19,141,70,4,PA03RWN7698,202/8 SR,1984-10-30,2041-12-05,348
800049860,856 Minna Highway,500,17,97,120,43,38,5,PA09HMJ1020,202/8 NC,2008-09-18,2021-07-27,334
800488879,912 Sunset Manor,228,59,295,208,182,19,4,PA62WSL8425,223(a)(7) Refi of 223f ALF,1987-03-16,2039-01-13,602
800538821,Burger King Holdings,138,59,427,60,141,25,4,PA05BGE8127,202/8 NC,2004-07-26,2034-08-12,126
800922737,Powerbod,294,166,223,225,7,44,4,PA54XUF5077,202/8 SR,2003-05-27,2023-02-12,351
800763259,96 Bay View Road,273,71,494,250,50,31,7,PA82RNA9618,202/8 SR,1999-11-07,2041-03-18,278
800370204,892 Federal Junction,351,96,45,238,132,54,3,PA74ODT4958,202/8 SR,2007-08-24,2043-09-13,27
