projectidentifier_id,projectindex_id
25,PAA77421189
141,TC3972-4502
180,PAA69327881
48,PAA41344887
363,PAA04585563
385,TC9371-9129
164,PAA44854471
150,PAA09349451
68,PAA32998091
594,PAA36855558
642,PAA13817423
386,PAA40921743
571,TC1153-5303
211,PAA24017040
629,PAA89702953
270,TC5384-5198
122,TC7204-6760
523,TC0007-2839
339,TC6525-2044
250,TC0691-3609
615,TC0428-9074
82,PAA36231922
499,PAA53587304
441,PAA87720900
549,TC2287-3408
519,TC8337-4441
321,PAA86709141
539,PAA11602452
205,PAA66037225
169,PAA40739520
204,PAA30519313
11,PAA48793088
313,PAA70143014
222,TC8712-4451
113,PAA78538583
224,PAA24236257
163,PAA68008556
188,PAA80088872
104,PAA54994739
518,PAA83713436
564,PAA03998775
395,TC3067-6115
473,PAA10931491
483,PAA66622959
91,TC8803-0767
308,TC6918-9759
38,PAA39569295
337,PAA92375404
649,TC9843-9274
599,TC5596-4193
134,PAA39705699
580,TC5713-5610
47,TC7149-3402
318,PAA65021550
462,PAA75264779
319,TC7549-7071
123,PAA73918271
561,TC5968-7695
76,PAA50471158
212,TC9269-0853
438,PAA30959217
10,PAA76154120
259,PAA67990236
636,PAA27655038
338,PAA16189610
272,PAA66141871
400,PAA20002864
199,PAA95886044
109,TC6070-4679
106,TC2587-5777
511,PAA69261093
503,TC8372-2313
378,TC1001-6422
315,TC8427-2194
612,TC9094-4893
40,PAA87483847
72,TC4432-6381
444,PAA73864314
209,PAA73135718
53,PAA33359961
203,PAA18234203
35,PAA93493812
3,TC0059-2354
389,TC0760-6537
253,PAA94583084
375,PAA43771639
495,PAA58774189
156,PAA11334689
83,PAA61619405
554,PAA64754771
328,PAA25404109
133,PAA69013355
581,TC1664-9849
189,TC1881-7719
276,TC5747-2148
198,TC8044-3176
168,PAA66075948
155,TC6431-4898
190,TC2870-6411
393,PAA85788947
107,TC2357-6826
428,TC5945-6609
432,TC4077-7651
280,PAA03334627
210,PAA79011733
449,TC9318-1715
344,TC3495-4198
420,TC0355-7062
355,PAA41014420
416,PAA46945361
258,PAA91975515
267,PAA09162105
84,PAA73623511
239,PAA81212445
486,PAA62529013
382,PAA07319852
117,PAA64503724
469,PAA50708607
336,TC3105-8657
262,TC7773-8253
475,PAA59763584
234,PAA81233080
226,PAA04087261
637,PAA49665118
17,TC1541-7004
323,PAA41818470
175,PAA25556099
245,PAA16694209
601,TC6451-5215
67,TC9533-4308
28,PAA78551164
77,PAA21459541
97,TC3483-4536
79,TC1562-6047
457,PAA38987513
399,TC5132-8982
607,TC2591-4690
596,PAA29484053
531,PAA20954172
75,PAA53197886
9,PAA02689942
409,TC7716-1754
643,TC8911-2616
362,PAA87533501
331,PAA53982686
502,TC2065-8146
335,TC3003-8913
458,TC0641-7995
173,PAA33221531
303,TC6788-8808
583,TC4890-4948
227,PAA44046081
437,TC0760-3387
63,PAA52587364
235,PAA36928870
410,PAA16755860
429,PAA82860924
37,PAA02363554
639,TC0906-9236
463,TC7948-5052
641,PAA36203693
566,TC6430-6521
326,TC0229-9864
177,TC6833-7877
529,TC0103-9504
124,TC7991-9976
512,PAA56395224
447,PAA77248792
214,TC0165-9235
66,PAA83606324
58,PAA74796844
555,TC9034-7164
200,TC4354-7718
545,PAA35665286
439,PAA25566354
590,PAA97280774
530,TC5706-9149
508,TC4946-4829
56,TC4909-8246
570,TC9975-1898
540,TC0295-5470
586,PAA43344205
305,PAA50992777
311,PAA67512059
582,TC5684-4210
216,PAA21428120
587,PAA09775320
45,PAA68062753
436,PAA51277502
364,PAA04959371
78,PAA16137427
153,PAA80314120
619,PAA60274511
74,TC1730-3458
342,PAA61906006
609,PAA06825916
330,PAA87411363
380,TC6017-6546
248,TC0598-1715
88,TC4560-1520
176,TC4675-6902
551,PAA41668316
197,PAA68498256
421,TC5011-9526
119,PAA57703887
99,TC6687-6261
402,TC8135-3084
397,PAA31706971
294,PAA83411354
170,PAA12324221
618,TC9905-8579
445,TC2599-0034
346,PAA26441496
391,PAA60955622
13,PAA45964925
201,PAA45452185
237,PAA18747526
525,TC7391-0466
128,PAA12937475
492,PAA79256533
130,TC3975-5920
297,TC7617-2897
187,TC9863-7841
178,PAA74491470
161,TC0204-1265
392,TC0330-2472
613,PAA66105425
626,TC4535-1892
159,PAA50375838
306,PAA93598784
232,TC6602-2398
396,TC6930-9245
70,PAA32801343
568,PAA35173206
309,TC1171-1697
597,TC0777-8253
579,TC7881-2507
4,TC3672-6215
388,TC4218-1477
7,PAA88886593
71,PAA55229124
504,PAA80662230
557,TC4334-6319
334,TC8254-2136
61,PAA32892874
95,PAA26398286
41,TC9129-4410
320,TC3332-6814
470,TC3390-2260
448,PAA86745497
602,TC7551-8970
69,TC0711-4017
271,PAA08329395
195,TC6985-1574
412,TC6899-8764
361,TC6220-8359
22,TC1769-1671
225,TC9317-4503
451,PAA05534983
162,PAA09781989
480,PAA79731470
120,TC6171-0742
479,PAA50671579
622,PAA79931127
381,PAA97075037
569,TC0047-4126
108,PAA34419207
390,TC1029-8709
249,TC5872-5458
417,PAA68918502
92,TC4708-1605
312,TC2202-0312
85,PAA27767578
403,PAA04645764
295,PAA55854761
238,TC9829-5465
476,TC4742-2526
546,TC4162-1638
5,TC8927-5939
565,PAA39911083
273,PAA03910622
368,PAA23502178
556,TC3276-7546
8,PAA33534627
574,PAA93161543
299,TC6047-9894
423,TC5942-6014
191,TC3817-0635
217,PAA70984929
219,TC8902-3170
465,TC4898-3845
329,TC2632-1239
506,PAA57654760
624,PAA54604759
192,PAA21703251
39,TC4631-8099
183,PAA36258993
298,PAA65544153
146,PAA22830535
307,TC9243-6497
89,PAA68197714
90,TC4543-6291
20,TC2481-2717
353,PAA83624743
49,TC1266-6337
274,TC7626-5238
1,PAA81556834
184,TC5312-0160
132,TC5416-9417
514,TC9370-8103
477,PAA38359102
371,PAA60208172
548,TC7030-9274
43,PAA86476087
316,PAA65517784
32,PAA33376041
310,TC1938-2056
2,TC0070-1573
634,TC1096-2320
443,TC7254-3202
589,PAA58521937
333,PAA03340277
243,PAA83188451
500,PAA91744113
498,TC5624-5524
290,TC2478-7024
377,TC5836-1511
485,TC1099-1617
427,TC5764-4810
105,TC0499-4094
446,PAA48012080
350,TC0634-7560
536,TC7867-1323
505,PAA93223758
154,PAA33338952
265,PAA61046351
411,TC5555-8867
426,PAA75829939
635,TC9730-2680
266,PAA06053174
359,PAA76457894
520,TC8926-0578
617,TC8271-1951
129,PAA35638705
466,TC0064-3033
633,PAA58178299
452,TC3050-3906
454,PAA61852451
623,PAA36764136
158,PAA70064951
493,PAA96023151
93,PAA39860764
606,PAA26240031
365,TC1812-1853
456,PAA97389328
261,PAA16720863
220,TC9520-8583
140,TC3409-7179
595,PAA65680346
246,TC4236-2363
611,TC7186-8484
524,TC4704-0936
474,PAA65388459
644,PAA05303885
647,PAA71536352
538,PAA08776093
515,TC5760-1105
100,TC7273-2816
600,PAA15538874
460,PAA10883839
300,PAA63060153
424,TC8976-2011
165,TC7374-2477
218,PAA56805652
221,PAA89928915
16,TC2433-4655
111,PAA27227102
349,TC5673-3892
44,PAA91731901
608,PAA72049006
143,TC5200-7946
292,PAA72040316
202,PAA13716271
430,PAA40026174
453,PAA16450391
12,PAA35595510
231,TC8560-9537
19,PAA83120271
260,TC3891-3433
464,TC8010-2308
640,TC2311-6892
625,TC4303-8950
356,TC0123-8939
81,TC3268-8926
357,PAA18193521
340,TC3429-7231
343,PAA27945833
51,TC7482-8184
533,TC8420-4332
137,TC7266-0501
482,PAA65984040
509,TC1901-9739
278,PAA02345670
118,TC8369-7025
394,PAA12918559
532,PAA77744370
572,PAA50557750
255,PAA05221768
233,PAA91629195
648,TC8756-0830
383,TC9025-5110
516,TC3860-0323
376,PAA07226503
194,TC0185-3281
247,TC6190-7264
374,PAA69204664
562,PAA42362140
440,TC7835-8308
442,TC8425-2933
236,TC2477-1810
496,TC6404-8333
46,TC3081-6220
138,TC2955-4464
50,TC3514-6411
29,TC9963-3421
207,TC1928-9539
103,TC4898-6052
593,TC8164-8513
149,PAA17591555
126,PAA81496813
256,TC1836-5590
317,PAA91509404
167,PAA42601905
125,TC2713-2175
472,TC3776-7226
645,PAA76097934
112,TC1431-2078
398,PAA18514008
567,PAA53842365
563,PAA86724419
296,TC2032-8151
229,TC3406-5794
52,TC7235-9269
406,PAA07990362
136,PAA07425184
263,PAA90518208
223,TC4207-6676
268,PAA20532728
24,TC3101-8737
591,PAA09661575
291,TC9545-0587
147,PAA11368389
646,PAA62052567
127,TC0628-8111
494,TC9694-2670
281,PAA65330472
244,TC8760-2987
34,TC7445-3645
604,PAA82527320
301,TC1029-2243
560,PAA61210170
94,PAA30909297
434,TC2717-6644
559,PAA70907365
367,PAA08077620
324,PAA88325966
240,PAA36282248
287,PAA91385197
528,PAA47503915
33,TC4898-9524
513,TC4052-5391
279,TC5181-1642
31,PAA51484751
468,PAA27739182
171,TC6546-7725
293,PAA60531693
419,TC4575-9854
544,TC2122-3793
251,TC1167-0156
172,TC3378-4495
80,TC1569-0555
638,PAA89802753
354,PAA10275574
151,PAA45966954
59,PAA67133577
36,PAA86252969
314,TC7175-0119
487,PAA01350022
14,PAA11953521
521,PAA14547322
288,TC6594-7803
257,TC4303-2235
87,PAA75477891
42,TC2821-0832
174,PAA82724426
366,PAA56520159
215,TC1240-3555
467,TC1473-5640
345,TC9656-5622
139,PAA09020731
610,PAA72068619
373,PAA54382270
404,PAA09921640
114,TC8851-4800
115,TC2895-0402
242,PAA37343525
422,PAA64469990
459,PAA50273494
110,PAA01079161
160,PAA61917659
558,PAA72959311
102,TC0566-6310
285,TC6092-5782
213,PAA54433112
553,TC5493-5280
327,TC5150-7104
360,TC6605-5128
96,TC2844-0756
286,TC8833-8402
455,TC1017-0632
526,PAA68106270
431,PAA43698879
507,TC0614-1945
142,PAA26999234
534,PAA82756424
576,TC0143-8971
101,PAA00582549
322,PAA05647782
144,PAA74838255
573,PAA99669308
277,PAA92899110
384,PAA01814045
182,PAA77591150
