projectidentifier_id,projectindex_id
404,3021
420,2124
437,4615
274,2313
559,4835
27,5250
213,2009
183,6839
47,2595
87,1875
643,2976
599,1775
546,2320
223,3712
625,4786
219,4712
39,2681
163,3007
276,1621
53,1625
106,5715
209,4984
516,2623
178,4993
138,5521
156,3296
441,2231
505,1369
646,5915
630,6789
67,5035
19,6552
550,6500
256,3218
366,2596
75,4225
547,5220
634,3628
448,754
185,6914
216,5714
435,425
510,589
105,3453
526,4796
427,3609
601,2055
368,4552
109,1569
320,1961
88,5986
381,5784
206,6866
114,2693
85,1388
468,413
240,3175
191,2395
325,3980
362,6443
272,5450
1,5816
68,6479
425,5530
18,3548
210,4104
501,1628
192,5305
289,233
502,2002
576,6162
225,4075
460,234
21,776
251,2284
253,2618
602,6893
519,2636
145,2064
172,1965
464,2459
234,2325
375,5842
530,3302
570,1579
211,1718
482,6266
469,1612
597,4529
189,3655
336,1188
631,5219
440,2696
306,3551
353,6737
556,1844
560,1485
133,6235
54,3028
508,1306
445,2390
596,5387
