property_id,latitude,longitude,geocoding_accuracy,county,county_fips_code,congressional_district_code,census_tract,municipality_fips,municipality_name,hud_property_name,property_street_address,city,state,zip_code,units,assisted_units,occupancy_date,property_category_name,property_manager_name,property_manager_company,property_manager_address,property_manager_phone,property_manager_email,contract_id,program_type,subsidy_units,subsidy_expiration_date,count_0br,count_1br,count_2br,count_3br,count_4br,count_5plusbr,servicing_site_name_loan,inspection_id,inspection_score,client_group_name,client_group_type,geom,geom_webmercator
800975041,40.64510567306537,-79.89672010845841,R,Allegheny,42003,18,42032145548,800992328,Cheswick,Freedom Map,1049 Chenery Pass,Bloomington,PA,43785,3,19,2015-01-19,Insured-Subsidized,Colby Hayes,Briggs & Stratton,621 Parkridge Trace,(412) 162-2175,operators1835@outlook.com,PA65JMJ5640,223(a)(7) Refi of 223f Nursing/ ICF,20,2032-05-04,160,71,5,104,95,10,Pittsburgh,626177,49,Assisted Living Care,None,POINT (4524592.466764432 -15472838.23778243),POINT (4524592.466764432 -15472838.23778243)
800688557,40.40416112095109,-80.13272778881579,R,Allegheny,42003,12,42013913411,800563495,Bell Acres,Locost Accessories,112 Skyline Trail,Woodburn,PA,13184,312,130,1983-11-07,Insured-Subsidized,Gonzalo Santiago,Red River Broadcasting,577 Mistral Row,(412) 017-4164,lafayette1920@gmail.com,PA48OFI4075,202/8 SR,39,2020-08-22,236,85,90,69,77,9,Baltimore,673726,89,Elderly,None,POINT (4497770.641913657 -15624361.969737954),POINT (4497770.641913657 -15624361.969737954)
800386131,40.637812818165266,-79.99109064835206,R,Allegheny,42003,18,42035993196,800082615,West Elizabeth,77 Edgewood Boulevard,16 Cervantes Field,Juneau,PA,81460,289,8,2014-08-01,Insured-Unsubsidized,Londa Sargent,Netcore,555 Malden Plaza,(412) 709-9146,paraguay1841@gmail.com,PA35HMS8982,223(a)(7) Refi of 223f ALF,123,2026-08-06,104,417,226,137,0,4,Pittsburgh,627281,43,Assisted Living Care,None,POINT (4523780.629870523 -15533002.153950207),POINT (4523780.629870523 -15533002.153950207)
800281234,40.35127893139927,-79.7898768352056,R,Allegheny,42003,12,42004725913,800094239,Cheswick,Brinker International,630 Normandie Creek,Gainesville,PA,46121,82,87,2001-05-19,Insured-Subsidized,Armando Carlson,The Happy Bear,406 Flournoy Estate,(412) 210-8926,know1952@outlook.com,PA61UTZ9156,202/8 SR,73,2022-10-21,101,319,59,95,80,6,Pittsburgh,617721,53,Elderly,Family,POINT (4491883.823500715 -15405390.211219583),POINT (4491883.823500715 -15405390.211219583)
800545973,40.55559442100302,-80.12866388952813,R,Allegheny,42003,14,42046976176,800948152,Baldwin,Arryx,8 Caselli Hill,Laguna Beach,PA,34471,166,89,1977-06-21,Insured-Subsidized,Les Burton,Gamma Realty,894 Yale Extension,(412) 168-7778,operational1929@example.com,PA55ZGU2740,202/8 NC,129,2030-11-18,161,234,33,85,35,8,OHP,616829,70,Family & Elderly,Family,POINT (4514628.119764583 -15621722.601308662),POINT (4514628.119764583 -15621722.601308662)
800792627,40.54559853074297,-80.05150915122802,R,Allegheny,42003,18,42034887581,800763210,Crafton,Albertsons LLC,1014 Bay Point,West Mifflin,PA,46523,188,192,2015-01-21,Insured-Unsubsidized,Danilo Rush,General Electric,196 Giants Circle,(412) 546-7525,florence2018@protonmail.com,PA40XXA0244,223(a)(7) Refi of 223f Nursing/ ICF,152,2039-04-25,12,15,135,153,21,10,Pittsburgh,641630,66,Assisted Living Care,None,POINT (4513515.382350809 -15571816.197463078),POINT (4513515.382350809 -15571816.197463078)
800354398,40.40356140726572,-80.05707864732709,R,Allegheny,42003,12,42075705117,800916955,Oakdale,US Cellular,42 Pacific Green,Rosemead,PA,65095,121,12,1976-06-24,Insured-Unsubsidized,Carmelina Mckinney,Procter & Gamble,606 Davenport Mews,(412) 529-3310,ultram2002@yandex.com,PA00BGX6768,202/8 SR,142,2023-05-26,231,15,58,24,73,3,Baltimore,576672,79,Assisted Living Care,Family,POINT (4497703.88209158 -15575405.89080151),POINT (4497703.88209158 -15575405.89080151)
800346018,40.63523579140171,-80.07779675179614,R,Allegheny,42003,18,42002071230,800241826,Heidelberg,825 Trainor Ranch,633 North Hughes Alley,Corsicana,PA,96308,118,25,1968-04-12,Insured-Unsubsidized,Clint Zimmerman,Infinite Wealth Planners,519 Orchard Crescent,(412) 557-7275,glenn1851@yahoo.com,PA47PHK7526,202/8 SR,145,2034-10-01,40,376,248,193,34,1,Baltimore,528892,32,Elderly,Elderly,POINT (4523493.756563444 -15588776.77600981),POINT (4523493.756563444 -15588776.77600981)
800101157,40.624151505614904,-80.01120140111883,R,Allegheny,42003,16,42092265652,800138741,Verona,1390 Gough Garden,520 Mississippi Highway,Kalamazoo,PA,77318,116,92,1988-10-22,Insured-Subsidized,Tamisha Burt,Go Daddy,231 Golden Hill,(412) 541-9140,aware1972@example.org,PA21HWZ1385,223(a)(7) Refi of 223f Nursing/ ICF,168,2027-09-19,176,248,158,143,7,9,OHP,665463,35,Assisted Living Care,Elderly,POINT (4522259.859513849 -15545895.888397029),POINT (4522259.859513849 -15545895.888397029)
800329456,40.4985463026355,-80.29795538614124,R,Allegheny,42003,14,42085816745,800826982,Ben Avon Heights,367 Jewett Court,725 Albatross Creek,Morganton,PA,76497,345,144,2015-08-14,Insured-Unsubsidized,Elijah Sherman,Midway Games,666 Cerritos Terrace,(412) 581-5561,isle1952@yandex.com,PA96JIN4831,202/8 SR,45,2043-02-24,103,90,249,54,25,7,Pittsburgh,547382,34,Assisted Living Care,Family,POINT (4508277.552277196 -15732593.56124141),POINT (4508277.552277196 -15732593.56124141)
